sample,spread_bucket,model,selected_fixed_horizon_kind,selected_fixed_horizon_value,selection_brier_score,selection_relative_brier_reduction,test_observations,test_roc_auc,test_brier_score,test_relative_brier_reduction,price_spell_test_roc_auc,price_spell_test_brier_score,price_spell_test_relative_brier_reduction,versus_baseline_clusters,versus_baseline_replicates,versus_baseline_relative_brier_reduction,versus_baseline_relative_brier_reduction_lower_95,versus_baseline_relative_brier_reduction_median,versus_baseline_relative_brier_reduction_upper_95,versus_baseline_probability_nonpositive,versus_price_spell_clusters,versus_price_spell_replicates,versus_price_spell_relative_brier_reduction,versus_price_spell_relative_brier_reduction_lower_95,versus_price_spell_relative_brier_reduction_median,versus_price_spell_relative_brier_reduction_upper_95,versus_price_spell_probability_nonpositive
best_quote_updates,all_spreads,ofi,clock_us,10000,0.24063705334416918,0.03758810620370745,5489604,0.6118681529438086,0.240920544596789,0.036403914316213815,0.6161326269477502,0.23600239964423972,0.05607473663248186,51,10000,0.036403914316213815,0.0319621569113955,0.03637322594663622,0.04088795032263684,0.0,51,10000,-0.020839385362026563,-0.024394266523483487,-0.020792876691998585,-0.01752628335433613,1.0
best_quote_updates,all_spreads,queue_and_ofi,clock_us,10000,0.24011570961217693,0.039673185793291266,5489604,0.6128491825170975,0.2409170390549676,0.03641793523079784,0.626762264854621,0.23599256116757628,0.0561140870233664,51,10000,0.03641793523079784,0.032495416628779285,0.03639745731359412,0.04040811722540155,0.0,51,10000,-0.0208670894668348,-0.02425739467639364,-0.020811319308664644,-0.017704120704891392,1.0
best_quote_updates,one_tick,ofi,clock_us,100,0.23373584285452456,0.06452281374192503,61829,0.6838724180646224,0.22414062801101456,0.10328079107557608,0.6937932857209639,0.21980876097404495,0.12061128763493378,51,10000,0.10328079107557608,0.08944915969579839,0.10309527628324189,0.11701676586982011,0.0,51,10000,-0.019707435762676973,-0.034101727636526344,-0.019456979064750746,-0.005294633652730837,0.9955
best_quote_updates,one_tick,queue_and_ofi,clock_us,1000,0.23160930711351896,0.07303381336944614,61829,0.7146672400776765,0.21604439866242764,0.13567136854990502,0.7522882632135836,0.2043721302472465,0.18236860230219254,51,10000,0.13567136854990502,0.12172225477449028,0.13574740778221978,0.14930501882257058,0.0,51,10000,-0.057112818665931986,-0.07652371776898782,-0.05667425879957266,-0.03858770206976805,1.0
best_quote_updates,over_ten_ticks,ofi,quote_updates,20,0.2412294458829169,0.03536663042398924,2720784,0.5971907218200747,0.24283292965030884,0.028782284456468576,0.5847438803846737,0.24213813625863628,0.031561131837697376,51,10000,0.028782284456468576,0.02649471800712885,0.028756044741088393,0.03124737778020101,0.0,51,10000,-0.002869409182741478,-0.005698367286628175,-0.0028204786674631555,9.30831124025371e-05,0.9715
best_quote_updates,over_ten_ticks,queue_and_ofi,quote_updates,20,0.2401333653876725,0.039749660105893425,2720784,0.5999191180075724,0.24263129670275063,0.029588721585847022,0.5984245576216106,0.24172422773861374,0.03321657159967384,51,10000,0.029588721585847022,0.02714200720037372,0.029588732153545905,0.032186693306356845,0.0,51,10000,-0.0037524950337943785,-0.00651265327516925,-0.003701904784196075,-0.0009101296077655755,0.9949
best_quote_updates,six_to_ten_ticks,ofi,clock_us,10000,0.23860495295383896,0.04570145771210721,1794330,0.6407001618590894,0.2360762373258515,0.055792865147570314,0.6325077204197468,0.23262665274992034,0.06958977417054557,51,10000,0.055792865147570314,0.05100003419759766,0.05575480146526518,0.0605209825109582,0.0,51,10000,-0.01482884499756576,-0.02023566425523803,-0.014783187581747459,-0.010335634192197862,1.0
best_quote_updates,six_to_ten_ticks,queue_and_ofi,clock_us,10000,0.23807996370549783,0.0478011478828545,1794330,0.6363750935437783,0.23669966601873174,0.053299408683856964,0.6379657170643508,0.23318378573947302,0.06736147305156759,51,10000,0.053299408683856964,0.04880463109035133,0.053290444303890294,0.05776639603715712,0.0,51,10000,-0.01507772192697332,-0.02053819696796385,-0.015019794177879242,-0.010506825083722889,1.0
best_quote_updates,two_to_five_ticks,ofi,clock_us,1000,0.23533543077608055,0.05865624426376759,912661,0.6620346081214907,0.23061422246967653,0.0775333457747116,0.6669296178592115,0.22458746005030217,0.10164065062899941,51,10000,0.0775333457747116,0.06926674098782279,0.07738840324676555,0.0858308116732594,0.0,51,10000,-0.02683481267397836,-0.03403547170463572,-0.026908172039100897,-0.02037657079313034,1.0
best_quote_updates,two_to_five_ticks,queue_and_ofi,clock_us,1000,0.23666325770272104,0.05334492508854016,912661,0.6625424726518335,0.23088273623728253,0.07645927933525154,0.6764252197284484,0.22457582964152908,0.10168717275653039,51,10000,0.07645927933525154,0.06977459554484175,0.0763484370006613,0.08312692132171907,0.0,51,10000,-0.028083639302682872,-0.03576134745583602,-0.028159784803274746,-0.02116648474208089,1.0
