sample,spread_bucket,model,target_train_signal_fraction,achieved_train_signal_fraction,test_signal_fraction,confidence_cutoff,latency_us,train_first_date,train_last_date,test_first_date,test_last_date,train_signals,test_signals,selected_test_signals,executable_test_signals,stale_fraction,buy_fraction,direction_roc_auc,direction_accuracy,direction_log_loss,direction_brier_score,direction_baseline_brier_score,direction_clusters,direction_replicates,direction_relative_brier_reduction,direction_relative_brier_reduction_lower_95,direction_relative_brier_reduction_median,direction_relative_brier_reduction_upper_95,direction_probability_nonpositive,intercept,queue_coefficient,ofi_coefficient,clusters,replicates,gross_midpoint_markout_mean_bps,half_spread_mean_bps,net_markout_mean_bps,net_markout_lower_95_bps,net_markout_median_bps,net_markout_upper_95_bps,probability_net_nonpositive
best_quote_updates,all_spreads,ofi,0.05,0.05961910763534798,0.0641286693903604,0.2503986850796065,0,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,352041,352041,0.0,0.4364946128433904,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.3794163808521202,1.4332869102351466,-1.0538705293830264,-1.144046288310439,-1.0522907359776932,-0.9762249265658539,1.0
best_quote_updates,all_spreads,ofi,0.05,0.05961910763534798,0.0641286693903604,0.2503986850796065,10,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,352041,239271,0.32033200678330076,0.41417054302443673,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.31224840745776,1.4940986391055064,-1.1818502316477464,-1.2861595761514808,-1.1804203087249452,-1.091673120354169,1.0
best_quote_updates,all_spreads,ofi,0.05,0.05961910763534798,0.0641286693903604,0.2503986850796065,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,352041,145018,0.5880650265167977,0.3937166420720186,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.13604534120039083,1.6434554075330217,-1.5074100663326306,-1.6496909075492467,-1.5047936506291195,-1.3854026293218287,1.0
best_quote_updates,all_spreads,ofi,0.05,0.05961910763534798,0.0641286693903604,0.2503986850796065,1000,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,352041,97582,0.7228106953451445,0.37191285278022584,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.046984788841642096,1.7090351320995458,-1.662050343257904,-1.7941736319932087,-1.6602266936836318,-1.5466859930912435,1.0
best_quote_updates,all_spreads,ofi,0.05,0.05961910763534798,0.0641286693903604,0.2503986850796065,10000,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,352041,74510,0.7883485162239625,0.3667292980807945,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.024836732240015598,1.6681401805821316,-1.643303448342116,-1.7562244346771987,-1.6422445342226988,-1.5381692270812168,1.0
best_quote_updates,all_spreads,ofi,0.1,0.11525769060811974,0.11497149885492651,0.18741128760775233,0,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,631148,631148,0.0,0.4533247352443484,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.3167756928892782,1.5443779861990277,-1.2276022933097495,-1.3346050293536895,-1.2262612013293217,-1.131733338857987,1.0
best_quote_updates,all_spreads,ofi,0.1,0.11525769060811974,0.11497149885492651,0.18741128760775233,10,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,631148,479045,0.24099418836786302,0.4419000302685551,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.2572818589317646,1.6117069416784269,-1.3544250827466622,-1.4758975009445212,-1.3528826133632599,-1.2472739922735434,1.0
best_quote_updates,all_spreads,ofi,0.1,0.11525769060811974,0.11497149885492651,0.18741128760775233,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,631148,329327,0.47820954831513374,0.434780628372408,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.126199973283771,1.7493480601666713,-1.6231480868829002,-1.7741030344774924,-1.6204336897112595,-1.490272459713147,1.0
best_quote_updates,all_spreads,ofi,0.1,0.11525769060811974,0.11497149885492651,0.18741128760775233,1000,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,631148,238357,0.6223437292045606,0.4276736156269797,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.06729589744077366,1.8100966878464422,-1.7428007904056684,-1.8891983387295979,-1.7403820655497322,-1.611287362948549,1.0
best_quote_updates,all_spreads,ofi,0.1,0.11525769060811974,0.11497149885492651,0.18741128760775233,10000,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,631148,185741,0.7057092789646802,0.4307557297527202,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.054334289371557806,1.7575644372687413,-1.7032301478971834,-1.8300740866532903,-1.7019815981503765,-1.5865737629307555,1.0
best_quote_updates,all_spreads,ofi,0.2,0.211661791911772,0.19577568800955406,0.116649059183355,0,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,1074731,1074731,0.0,0.4583965662105215,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.26473517902100285,1.697409066246268,-1.4326738872252651,-1.5576794226148953,-1.430880883259992,-1.3169174862960902,1.0
best_quote_updates,all_spreads,ofi,0.2,0.211661791911772,0.19577568800955406,0.116649059183355,10,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,1074731,879547,0.1816119568524589,0.4510151248313052,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.21569380192808912,1.7686880985995017,-1.5529942966714128,-1.689338310308143,-1.5512269516492945,-1.4264371239217513,1.0
best_quote_updates,all_spreads,ofi,0.2,0.211661791911772,0.19577568800955406,0.116649059183355,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,1074731,658565,0.38722805985869957,0.4467349464365704,0.6161326269477502,0.5682584754747337,0.663646926899389,0.23600239964437783,0.2500223363047674,51,10000,0.05607473663192952,0.053296006761765116,0.05606887809067751,0.0586272663458531,0.0,-0.006306315607606131,,2.4233882986523203,51,10000,0.11824260885645663,1.9060071026280816,-1.7877644937716253,-1.9443523243230523,-1.7854037698594967,-1.6419335327488833,1.0
