horizon,threshold_shares,intercept_cents,kyle_lambda_cents_per_share,observations
5,171.0,0.03174677365041824,0.023797639589817038,320627
10,290.0,0.1146546106624227,0.018366742078481133,160319
20,470.0,0.23511174075282495,0.014673877783907881,80090
50,883.0,0.2611221038476843,0.011485036265373482,31988
100,1462.0,0.456129482117307,0.009121749316437631,15970
