sample,spread_bucket,model,horizon_kind,horizon_value,development_first_date,development_last_date,selection_first_date,selection_last_date,test_first_date,test_last_date,development_observations,selection_observations,test_observations,selection_roc_auc,selection_log_loss,selection_brier_score,selection_relative_brier_reduction,test_roc_auc,test_log_loss,test_brier_score,test_accuracy,test_relative_brier_reduction,intercept,queue_coefficient,ofi_coefficient,selected_fixed_on_train_dates
best_quote_updates,one_tick,ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6423495201727402,0.6626258544505962,0.23523448129184243,0.058524837344984926,,,,,,,,,False
best_quote_updates,one_tick,ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6455143308193204,0.6592504737607195,0.23373584285452456,0.06452281374192503,0.6838724180646224,0.6387687828001142,0.22414062801101456,0.6313542188940465,0.10328079107557608,-0.017514392088985108,,1.4972747631176784,True
best_quote_updates,one_tick,ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6449145429910551,0.6634092294185325,0.23547029250414686,0.05758105394111945,,,,,,,,,False
best_quote_updates,one_tick,ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6343772333135893,0.668101902195049,0.23759479202389458,0.04907820384902972,,,,,,,,,False
best_quote_updates,one_tick,ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.675179816021568,0.6393374049779751,0.22472014639705915,0.10060618996349957,0.6937932857209639,0.6279981202391339,0.21980876097404495,0.601643241844442,0.12061128763493378,0.02247397014578944,,2.764859571115779,False
best_quote_updates,one_tick,ofi,quote_updates,1,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.628452338879327,0.6703890968598276,0.23885788675371367,0.044022940225795115,,,,,,,,,False
best_quote_updates,one_tick,ofi,quote_updates,5,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6388409011153272,0.6646225390203554,0.2358997862671703,0.05586209799477515,,,,,,,,,False
best_quote_updates,one_tick,ofi,quote_updates,20,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6050041821859427,0.6767700074136863,0.24183317361326234,0.03211499771389925,,,,,,,,,False
best_quote_updates,one_tick,ofi,quote_updates,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.5319652713669558,0.6910831771637501,0.2489647667655281,0.0035723377001709578,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6574865710877194,0.6585865742674887,0.2326749732483225,0.06876871502123494,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.662407257550475,0.6571518902753786,0.2318576826279253,0.07203974406234015,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6635250924121403,0.6563951314801922,0.23160930711351896,0.07303381336944614,0.7146672400776765,0.6225448878918451,0.21604439866242764,0.6685374177166055,0.13567136854990502,-0.020979481203064147,0.6586107264902358,1.0994619327573836,True
best_quote_updates,one_tick,queue_and_ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6571936131299079,0.6594729963364562,0.23308404966141416,0.06713147510454098,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.7082846481212568,0.6241427417071372,0.21745719432825217,0.1296745856459005,0.7522882632135836,0.5953650611275216,0.2043721302472465,0.68288343657507,0.18236860230219254,0.01242732894821829,0.7668729576012506,2.691641911330087,False
best_quote_updates,one_tick,queue_and_ofi,quote_updates,1,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6350044003401343,0.667325258020323,0.23717220904088493,0.05076950089221577,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,quote_updates,5,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6534017764816389,0.6594776872715759,0.23327865193733813,0.06635262156073929,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,quote_updates,20,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6375930391915603,0.6666181000584499,0.2368330311257158,0.052126987180361795,,,,,,,,,False
best_quote_updates,one_tick,queue_and_ofi,quote_updates,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,328448,61090,61829,0.6083734043396807,0.6785467287444843,0.2427242369940728,0.028548709146095086,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5500998784497235,0.6914645163531514,0.24910115391171064,0.003889079197430534,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5577487714280281,0.6887912268541059,0.24781725662155626,0.009023154619517304,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5676504627143039,0.6864943066028572,0.24668720524245247,0.013542027784562038,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5789694479083977,0.6843985373443783,0.2456470068269634,0.017701595033445483,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5814641897460731,0.6798332218565304,0.2433198625513636,0.027007428389920984,0.5847438803846737,0.6770394436104222,0.24213813625863628,0.5494423666119765,0.031561131837697376,-0.013451693454876672,,2.0682174222086833,False
best_quote_updates,over_ten_ticks,ofi,quote_updates,1,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5333738656233816,0.6936910620095926,0.2502337150396599,-0.0006398300039560656,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,quote_updates,5,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5862800212476769,0.6825371352139814,0.24472587506050789,0.021385036067964824,,,,,,,,,False
best_quote_updates,over_ten_ticks,ofi,quote_updates,20,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.6111004891320926,0.6754858405530337,0.2412294458829169,0.03536663042398924,0.5971907218200747,0.6787237130538091,0.24283292965030884,0.5806466077424742,0.028782284456468576,-0.01691496997044391,,0.4650380521758966,True
best_quote_updates,over_ten_ticks,ofi,quote_updates,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5730579643182953,0.6855717150703537,0.24622248515849327,0.015400360206868413,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5755835600681369,0.6870449652212762,0.246855855275826,0.012867626492560458,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5806781720145016,0.6847593358915396,0.24577173243953127,0.01720283963696645,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5869251916532305,0.6825882689001785,0.24472355937445084,0.02139429608195642,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5933535256293891,0.6805148297468026,0.2437124902679021,0.025437380439069845,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.6028691377299169,0.6769671300938574,0.24191311205231855,0.03263277180137647,0.5984245576216106,0.6762916007020021,0.24172422773861374,0.5670527318596404,0.03321657159967384,-0.010625905395069725,0.29854853302168977,1.8557349174068067,False
best_quote_updates,over_ten_ticks,queue_and_ofi,quote_updates,1,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.565110957127919,0.6884204637492836,0.24758919668952648,0.009935125460779903,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,quote_updates,5,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5938419776419869,0.6799694520760157,0.24346276355365454,0.026435992863668933,,,,,,,,,False
best_quote_updates,over_ten_ticks,queue_and_ofi,quote_updates,20,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.6156969652563692,0.6731754783997322,0.2401333653876725,0.039749660105893425,0.5999191180075724,0.6782914441031259,0.24263129670275063,0.5743693729454451,0.029588721585847022,-0.013906923434137615,0.3316273955336073,0.41712239093160713,True
best_quote_updates,over_ten_ticks,queue_and_ofi,quote_updates,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,8650007,1521663,2720784,0.5905615018181247,0.6806934556699553,0.24383062465831243,0.0249649821600485,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6039414684026392,0.6820440378140852,0.2440946729394133,0.023745367886864432,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6176355856408041,0.6742494349746965,0.24056577264512705,0.03785917552173024,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6253647546086768,0.6707162375904833,0.23888024906345048,0.04460041319124741,,,,,,,,,False
