grid_bins_per_axis,sample,spread_bucket,model,test_observations,roc_auc,brier_score,relative_brier_reduction,relative_brier_reduction_lower_95,relative_brier_reduction_upper_95,probability_nonpositive
31,best_quote_updates,six_to_ten_ticks,queue,1794330,0.5296899625794658,0.25050801082341245,-0.0019282492658330153,-0.00413987786628337,0.000477893983628763,0.9437
41,best_quote_updates,six_to_ten_ticks,queue,1794330,0.5296422144278076,0.25051530982240816,-0.0019574422375912004,-0.004183700590655487,0.00045375843755397674,0.945
21,best_quote_updates,six_to_ten_ticks,queue_and_ofi,1794330,0.6370512746487782,0.2333362013414835,0.06675187379451719,0.06190668751464996,0.07193149651773931,0.0
31,best_quote_updates,six_to_ten_ticks,queue_and_ofi,1794330,0.6379657170643508,0.23318378573947302,0.06736147305156759,0.06248119799712055,0.07254902967044959,0.0
41,best_quote_updates,six_to_ten_ticks,queue_and_ofi,1794330,0.6383295556526501,0.2331342737781466,0.0675595003823759,0.06264538621189539,0.07277269628011328,0.0
21,best_quote_updates,two_to_five_ticks,ofi,912661,0.6630042190692083,0.22473749577328384,0.10104050138446896,0.0950267907828223,0.10702767162029865,0.0
31,best_quote_updates,two_to_five_ticks,ofi,912661,0.6669296178592115,0.22458746005030217,0.10164065062899941,0.09557829412276897,0.10774288972963986,0.0
41,best_quote_updates,two_to_five_ticks,ofi,912661,0.6694736201753784,0.22452836432516898,0.10187703603168108,0.09582703288430681,0.10797807365368234,0.0
21,best_quote_updates,two_to_five_ticks,queue,912661,0.5220187234605308,0.25095065812023676,-0.0038132578845957443,-0.007313073100628775,-0.0001615845008616135,0.9796
31,best_quote_updates,two_to_five_ticks,queue,912661,0.5224952618438236,0.25092711177704985,-0.003719071514881822,-0.007238850319787144,-4.7129301322546276e-05,0.9764
41,best_quote_updates,two_to_five_ticks,queue,912661,0.5223647134008123,0.25093786688463204,-0.003762092400587891,-0.0072904119047810636,-6.887458816316022e-05,0.9774
21,best_quote_updates,two_to_five_ticks,queue_and_ofi,912661,0.675334124349417,0.22476106723062278,0.10094621455708319,0.09581646472986909,0.10613931419041536,0.0
31,best_quote_updates,two_to_five_ticks,queue_and_ofi,912661,0.6764252197284484,0.22457582964152908,0.10168717275653039,0.09647800614361922,0.10693003393561189,0.0
41,best_quote_updates,two_to_five_ticks,queue_and_ofi,912661,0.677191747784706,0.22451977267107195,0.10191140301184498,0.09671093665698001,0.10717323737227888,0.0
