model,features,test_mse_bps_squared,test_rmse_bps,test_mae_bps,test_r_squared,test_sign_accuracy
OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",9.689863514055235,3.112854560376253,2.3551131915267534,0.30899512879722635,0.7848543572339421
OLS signed volume,volume_imbalance,12.424233217823232,3.524802578560001,2.455471180964214,0.11400138278292082,0.7698131394776742
