scale,prefactor,exponent,standard_error,r_squared,log_residual_standard_deviation,observations
Q_N,156.01683539653843,0.9757805644368271,0.012462797175745204,0.9957766021685182,0.122435845265401,28
R_N,0.0003911310341693073,0.6558252733631282,0.006454322370929766,0.9974880784593153,0.06340794959241733,28
