sample,spread_bucket,model,fold,evaluation_month,train_first_date,train_last_date,test_first_date,test_last_date,train_dates,test_dates,train_observations,test_observations,train_upward_fraction,test_upward_fraction,intercept,queue_coefficient,ofi_coefficient,brier_sse,roc_auc,log_loss,brier_score,accuracy,relative_brier_reduction_vs_intercept
price_spell_landmarks,all_spreads,intercept,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,4943353,731311,0.5001190487509186,0.5048276314727934,0.00047619501267303553,,,182826.91976135178,0.5,0.693144910011126,0.24999886472561164,0.5048276314727934,0.0
price_spell_landmarks,all_spreads,ofi,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,4943353,731311,0.5001190487509186,0.5048276314727934,0.0013307308917825883,,1.570354070757683,181204.78171064914,0.5417062709349425,0.6887148459735177,0.24778074131340722,0.5269249334414496,0.008872533939859872
price_spell_landmarks,all_spreads,queue,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,4943353,731311,0.5001190487509186,0.5048276314727934,0.00854064001663316,0.38458184674201673,,178608.6745212549,0.5951552741073042,0.6815567873369348,0.2442308053909416,0.5769775102521363,0.023072342112436472
price_spell_landmarks,all_spreads,queue_and_ofi,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,4943353,731311,0.5001190487509186,0.5048276314727934,0.008515529814341465,0.35109259088416644,1.236436841991414,177753.9415172207,0.6033868947718529,0.6791850932691988,0.2430620372416396,0.5810687928938577,0.027747435939701637
price_spell_landmarks,all_spreads,intercept,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,5674664,776346,0.5007258579538806,0.5104695586761573,0.0029034338551655846,,,194075.10948633956,0.5,0.6931178366294851,0.2499853280448918,0.5104695586761573,0.0
price_spell_landmarks,all_spreads,ofi,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,5674664,776346,0.5007258579538806,0.5104695586761573,0.003897461312976367,,1.6127298883937642,192864.2645418723,0.5299414888995881,0.6900088884755585,0.24842565626907623,0.5247029030870256,0.006239053259699312
price_spell_landmarks,all_spreads,queue,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,5674664,776346,0.5007258579538806,0.5104695586761573,0.011329734061782146,0.40879901496329635,,192862.7706727278,0.549941385040813,0.6900067758663889,0.24842373203794157,0.5396936417525176,0.006246750635980347
price_spell_landmarks,all_spreads,queue_and_ofi,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,5674664,776346,0.5007258579538806,0.5104695586761573,0.010973617316848722,0.3740841822024288,1.246055983775314,192033.68537021603,0.5589530253424442,0.6878510859477418,0.24735579930883397,0.5439185620844315,0.010518732265701547
price_spell_landmarks,all_spreads,intercept,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,6451010,665008,0.5018984624113123,0.49954286264225395,0.007593886138159001,,,166255.55106006493,0.5,0.6931578603800042,0.25000533987570817,0.49954286264225395,0.0
price_spell_landmarks,all_spreads,ofi,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,6451010,665008,0.5018984624113123,0.49954286264225395,0.008139671432005996,,1.6327140409176153,164926.51112900997,0.536282175787307,0.6892471863092103,0.2480068076309007,0.5202764478021317,0.00799395823225657
