horizon,x,y,observations
10,-2994.1124505030557,-0.0003278783457808434,18852
10,-1298.4335759803703,-0.00031079884173118127,18853
10,-975.9520854144283,-0.0002986704921349399,18851
10,-789.1823840033423,-0.00027999248439105717,18852
10,-659.4701818310643,-0.00026623187123511115,18851
10,-557.7810004082528,-0.00024764492373769917,18852
10,-473.98945710344435,-0.000235201521572042,18852
10,-401.2674697781498,-0.00021566261799962867,18854
10,-338.5701708808204,-0.0002052722921607266,18849
10,-282.1031640945977,-0.00017940184313878648,18853
10,-230.3736250206773,-0.00015859627118810192,18851
10,-181.82900116575993,-0.000136596430824004,18852
10,-135.13025422687855,-0.00010649737627206442,18852
10,-89.96915101271611,-7.371935140081149e-05,18851
10,-45.81519938856252,-3.609911597705685e-05,18853
10,-3.791832367249423,-5.179381025486631e-06,18855
10,37.05621500749114,3.0148658271392233e-05,18849
10,81.30663565787694,6.939241247496703e-05,18853
10,126.4194191340328,9.8363740872764e-05,18849
10,173.027509968726,0.00013168266758301463,18852
10,221.1488146100855,0.0001625344488287808,18853
10,271.85341232672204,0.00018433126912072596,18851
10,327.3683834105871,0.00020217126078681476,18852
10,389.39913775768014,0.00022657452343248846,18851
10,460.78445243959396,0.00023213058719239157,18852
10,543.9638195412778,0.0002573515542816813,18853
10,645.0189334022994,0.0002693862606670745,18851
10,776.4227891817778,0.000282992665642805,18851
10,962.8032857348413,0.00030303084269643003,18853
10,1287.372864247069,0.0003203022806080167,18851
10,3003.9268668634045,0.0003320691174945621,18852
13,-3605.695433481322,-0.0003894163657150923,14501
13,-1595.3354779263395,-0.00038226686564940066,14501
13,-1196.9830751692832,-0.0003566932677968272,14500
13,-966.9249738092325,-0.0003375567204117248,14502
13,-806.4923093615121,-0.0003066187751565133,14499
13,-679.6206705786506,-0.00028770359923729406,14501
13,-576.4284768687272,-0.0002785021432083945,14500
13,-488.6165983263144,-0.0002448062052750764,14501
13,-411.77523207867125,-0.00023268213771209136,14500
13,-342.979174933644,-0.0002095731211346563,14502
13,-279.35748147281976,-0.00017811290548751187,14501
13,-220.15204019247756,-0.00015750896028764476,14500
13,-163.65926843468918,-0.00012001305591577218,14499
13,-109.11082684587336,-8.093261481628614e-05,14501
13,-56.01814905886382,-4.188969270211833e-05,14501
13,-4.368496993805428,-7.794068470143465e-06,14503
13,46.28841407036016,3.7498168950445836e-05,14498
13,99.50451958272967,7.58854822325391e-05,14501
13,153.9832500104277,0.00011017383985788754,14501
13,209.62814134233636,0.00015340112074465064,14499
13,268.5628429057628,0.0001817567224441367,14503
13,330.71298692063374,0.00020943265010881602,14498
13,398.2953492352376,0.0002347262479104015,14500
13,474.31951390781745,0.00025707240748851077,14502
13,559.5511480362145,0.00027701946536134845,14499
13,660.5712980259218,0.00029368537033012525,14501
13,786.3109681307903,0.00032168103774533733,14500
13,948.747056300331,0.00033911174557055057,14501
13,1175.376203445843,0.0003658168669919956,14500
13,1577.640943642815,0.00038140974239246774,14501
13,3619.371138130134,0.0003981385538853058,14501
16,-4167.451728603643,-0.0004453325826438269,11782
16,-1874.2439357191324,-0.0004357917051495123,11781
16,-1400.3873208607245,-0.00041266130074436315,11781
16,-1128.9615351656996,-0.00037983876439047634,11781
16,-939.0284167712214,-0.00035393097986746166,11782
16,-793.3868681670289,-0.0003326786313665906,11781
16,-673.1935398787507,-0.00030983166808992154,11780
16,-570.1347702286638,-0.00028083180668500026,11781
16,-479.9393214032689,-0.00025726370388865703,11782
16,-398.99701478296925,-0.0002308323146420539,11780
16,-325.22953301005333,-0.00019231457045363137,11781
16,-256.0526034605786,-0.0001658980770253408,11782
16,-190.1110216460005,-0.0001312146805535333,11780
16,-127.24199092373765,-8.897957023111813e-05,11783
16,-65.50137568884712,-4.664859626734079e-05,11779
16,-4.954917585975084,-6.812523767726514e-06,11782
16,53.61832186886459,3.4383988804622416e-05,11781
16,114.39969241197309,8.626662067077865e-05,11782
16,177.19743314942968,0.00012625476265665914,11780
16,242.60291794825275,0.0001530192606213299,11784
16,310.2096090803807,0.00019611694036228986,11778
16,382.5002341727515,0.0002278124269202627,11781
16,462.0950572539854,0.00026846036752830633,11781
16,550.8151022973685,0.0002938136941192337,11781
16,652.1342491806657,0.0003189792050388301,11781
16,771.9581799304258,0.00033808931772498507,11781
16,919.7154195376124,0.00036155059643135876,11781
16,1109.183709465104,0.0003873637129605772,11781
16,1378.0549256356608,0.0004163294771847435,11781
16,1844.6016835985574,0.00043553995104282043,11781
16,4185.67898700917,0.0004572792555150574,11782
20,-4860.11521539206,-0.0005233959295332717,9424
20,-2216.6515118529514,-0.0005083662176728327,9424
20,-1662.3311423207701,-0.0004644720223442559,9424
20,-1336.2058823454074,-0.000433323158295582,9424
20,-1109.1911694150367,-0.0004036625629717649,9424
20,-934.3394718133818,-0.0003814659880803866,9424
20,-789.8464796602583,-0.0003481175529402782,9423
20,-666.7087301587078,-0.00032190365801522544,9424
20,-561.1394636394847,-0.0002888053090453998,9424
20,-466.365053692881,-0.0002555710599555083,9424
20,-378.90899310470775,-0.0002198246282749579,9425
20,-297.74244488967054,-0.00017739445478103687,9423
20,-220.40514555842054,-0.00014250533522070042,9423
20,-146.2494295787714,-9.427130756770281e-05,9424
20,-74.09538434808184,-4.785953980136738e-05,9424
20,-4.31167865173364,-9.062967083769044e-06,9426
20,63.89640699577751,4.2493737447486954e-05,9422
20,134.82404431926471,8.779016262730953e-05,9424
20,208.02633129818494,0.00014122187751861392,9423
20,284.2919776988425,0.00017721959422950357,9424
20,363.4840332439032,0.000224560168818406,9424
20,447.9647751624291,0.0002546196753401833,9424
20,541.1447187588792,0.0002869413915049333,9426
20,644.8838562977494,0.00032647750590758897,9422
20,764.984111555899,0.00035979181464105956,9424
20,907.7544522222108,0.00038227008639098896,9423
20,1081.5318133191056,0.0004177753576784712,9424
20,1306.57076303615,0.00044654372806823085,9424
20,1628.9553192898295,0.0004670760060619051,9424
20,2183.450807017557,0.0005123706322257995,9424
20,4858.064080967078,0.0005306857983879671,9424
25,-5650.562800374446,-0.0006118015378035798,7539
25,-2629.7244993225513,-0.0005762184853441435,7539
25,-1963.6879795921511,-0.0005233838803497408,7538
25,-1577.3076374414516,-0.000499067280921332,7539
25,-1308.1553370094762,-0.0004601768639545816,7538
25,-1099.232615687791,-0.00042694954087916864,7539
25,-928.7549367704994,-0.00040053449504724834,7538
25,-781.8610176378206,-0.0003588130310726778,7539
25,-657.4168120689139,-0.0003218134475735716,7538
25,-544.358337466044,-0.0002784582658917969,7540
25,-443.02504876958807,-0.0002351392008645446,7537
25,-347.7598103735187,-0.00019583127718640077,7540
25,-258.15933840066634,-0.00015529203035915374,7537
25,-171.26312274154168,-0.00011041259978861764,7539
25,-88.75024902709625,-6.050681180079592e-05,7538
25,-7.934689432053836,-1.1030208716674185e-05,7539
25,72.57147615757493,4.1436785938643005e-05,7538
25,155.52742910844742,9.792661579706586e-05,7539
25,241.22253808258282,0.00014905104825211848,7538
25,330.67074699204323,0.0001932291921368135,7539
25,424.57181400385167,0.0002457270155796148,7538
25,525.9192172766142,0.0002927815612706699,7539
25,637.417707829391,0.00033368120936076116,7538
25,759.7637135851438,0.0003653029018180161,7539
25,900.1794380940376,0.00040554747075945645,7538
25,1070.26638118172,0.00042650323548342427,7540
25,1279.8494719820442,0.0004656757747455147,7537
25,1544.237411903829,0.0004951414539595639,7540
25,1924.5807379036974,0.0005475419885737911,7537
25,2582.725237260198,0.0005924119379075829,7539
25,5636.121833104998,0.000621004781172679,7539
32,-6662.924000134863,-0.0007209027915466208,5889
32,-3165.279539046965,-0.0006575508014340254,5889
32,-2364.3523837356306,-0.0006202922939881519,5888
32,-1893.340837365567,-0.0005657272113568631,5889
32,-1566.2116572257567,-0.0005369583096396221,5888
32,-1315.2724296237425,-0.0004928881974504134,5889
32,-1107.7986347826238,-0.000436402234477291,5889
32,-933.9699073750298,-0.0004229617995836251,5888
32,-784.6479885843455,-0.0003590723255818134,5889
32,-649.4559707084337,-0.00031564466452772865,5888
32,-527.2089113874299,-0.00028210753945277756,5889
32,-412.2857813335492,-0.00021584934465550807,5888
32,-305.7340246235548,-0.0001763304952024478,5889
32,-203.8519183959251,-0.0001230056542949537,5889
32,-104.3108157339468,-6.00326214229851e-05,5888
32,-8.436438647215173,-2.8328688188064387e-06,5889
32,86.49085995469365,5.810359691770475e-05,5888
32,185.36478449634268,0.00011540586176304757,5889
32,288.47787788737253,0.00017284705749035705,5889
32,393.0457835517064,0.0002315709577425926,5888
32,503.48309810586255,0.00026718106146005305,5889
32,622.8137166597289,0.00033308286736337416,5888
32,754.1171664644207,0.00036450761790674565,5889
32,905.3496617602655,0.0003996632124537588,5889
32,1076.0974521677151,0.00045031015904523167,5888
32,1278.8253561443846,0.0005060311210714545,5889
32,1526.5027501082175,0.0005484404741216204,5888
32,1849.417658285036,0.0005753413211765602,5889
32,2304.8229657538277,0.0006262311340930271,5888
32,3096.3346994950657,0.0006693654626111201,5889
32,6650.363606215339,0.0007313266427016346,5889
40,-7700.444127366362,-0.0008358398597938189,4711
40,-3716.8629958820675,-0.0007676129863626668,4710
40,-2779.1889708646518,-0.0006830413647510918,4710
40,-2233.424084562878,-0.0006475364377557153,4710
40,-1847.4079560057519,-0.0005962373847164008,4710
40,-1546.7307242645136,-0.0005270354071722155,4710
40,-1302.1875422837736,-0.0004727213736028971,4711
40,-1094.2331377905807,-0.000450536020031461,4709
40,-917.8901829838993,-0.0004097971664787785,4709
40,-760.3339591956322,-0.00037418294918259177,4711
40,-616.792365590851,-0.00030789232722451255,4710
40,-485.3254651303937,-0.0002570821018000948,4710
40,-362.6687451993932,-0.00019705816559009953,4709
40,-242.74218359230983,-0.00013763389898546096,4710
40,-124.78322096377406,-6.292423402827362e-05,4711
40,-10.515483293641154,8.676334377409043e-06,4710
40,102.43852485864362,6.105395557444921e-05,4710
40,218.64578130412235,0.00012210446624318124,4709
40,337.1520370515217,0.00017584890035117698,4712
40,460.64130906626986,0.0002444383291683608,4709
40,591.6227094658448,0.00030809738930719934,4710
40,732.0926265481717,0.0003696478257652255,4710
40,884.8540225691701,0.0004254643353165266,4709
40,1060.670746131861,0.0004576372481610815,4713
40,1263.7113093169849,0.0004929892865205205,4707
40,1499.0926360514438,0.0005522303411180776,4710
40,1791.0411663093353,0.0005883235709910219,4711
40,2168.004886700783,0.000649836450956732,4709
40,2707.2808524544203,0.0007165393008132371,4711
40,3646.799884547218,0.0007761900797222514,4710
40,7660.722301603106,0.0008528354650457151,4710
50,-8880.878138582028,-0.0009626495721880269,3768
50,-4400.098458893438,-0.0008492331611945853,3767
50,-3306.9138260023765,-0.0007885108136069768,3768
50,-2637.523512465623,-0.0007360527542318196,3767
50,-2178.555363357783,-0.0006831137556109289,3767
50,-1821.537914336343,-0.000610064092584939,3768
50,-1528.8787550589202,-0.0005490698322972627,3767
50,-1288.4013293767478,-0.0004946931171667012,3767
50,-1081.346895661437,-0.0004298617150270535,3768
50,-893.6175307378437,-0.0004012036406995154,3767
50,-724.2487788979411,-0.00034842769227308917,3767
50,-564.9418838757746,-0.00025904198563192845,3768
50,-419.336633438944,-0.00022984078269450793,3767
50,-275.3588678075581,-0.00015721710378434545,3767
50,-137.6376333659398,-7.610072967199708e-05,3768
50,-5.609615436823531,-8.789158857623062e-06,3767
50,126.4090117088658,6.440562014384295e-05,3768
50,259.6456492113857,0.0001466988895994233,3767
50,396.92125325958773,0.0002106265991546499,3767
50,541.4472190023159,0.0002924046650121445,3769
50,697.1384199492181,0.000344082985721819,3766
50,862.6710893997995,0.0003840955088685676,3767
50,1044.0421472000444,0.0004507572570154164,3768
50,1246.7943524003256,0.0005261923029106253,3767
50,1478.824314945156,0.0005750615566580877,3767
50,1762.0947086590563,0.000629335341328526,3768
50,2113.5165613546737,0.0006666916460536879,3767
50,2558.466135340518,0.0007456696362887397,3767
50,3200.5193827133667,0.000788609198009441,3768
50,4302.558696690514,0.0008806452563023489,3767
50,8793.571279757522,0.0009720957727230674,3768
63,-10260.59452352392,-0.001124064569255859,2989
63,-5225.195760215821,-0.0009873369952646113,2989
63,-3899.1242014306617,-0.0008975805377106481,2989
63,-3124.128163421468,-0.0008162284831988813,2989
63,-2577.594806748469,-0.0007262038736926474,2989
63,-2166.4875552198637,-0.0007017690530325517,2989
63,-1827.3278539405553,-0.0006421081790678647,2989
63,-1540.3667292149303,-0.0005439814880715486,2989
63,-1282.1063630507967,-0.0005005057129971541,2989
63,-1061.8493642270578,-0.00045459880549648355,2989
63,-859.8982841788539,-0.0003871620829682659,2989
63,-671.7233216964859,-0.00031608796285489716,2989
63,-495.8483315990491,-0.00022966537859181175,2989
63,-333.4597743022042,-0.00016070309266870013,2989
63,-174.08648847364117,-8.313190555348523e-05,2989
63,-12.642933675670138,-6.751694476201575e-06,2989
63,146.93505426705275,9.00178625343967e-05,2989
63,308.0650726259253,0.00018554641516877016,2989
63,471.0104262361886,0.00022583925282207188,2989
63,645.0684471093662,0.0003145315169783279,2989
63,827.4345979710976,0.00036797264303368163,2989
63,1022.0041017586087,0.00044949433248930355,2989
63,1234.7625985195657,0.0004989150310170814,2989
63,1470.924111626427,0.0005603028930845578,2989
63,1751.152928768484,0.0006401253537502974,2989
63,2083.794843020023,0.000699298043139431,2989
63,2492.0608878028397,0.0007700563246369257,2989
63,3033.0781370687373,0.0008439585818370046,2989
