horizon,x,y,observations,x_scaled,y_scaled
10,-2994.1124505030557,-0.0003278783457808434,18852,-2.1369813090043124,-0.19113358068662736
10,-1298.4335759803703,-0.00031079884173118127,18853,-0.9267281468962484,-0.1811772453342901
10,-975.9520854144283,-0.0002986704921349399,18851,-0.6965641402893878,-0.1741071386438706
10,-789.1823840033423,-0.00027999248439105717,18852,-0.5632614111494892,-0.16321897068121083
10,-659.4701818310643,-0.00026623187123511115,18851,-0.47068220573408337,-0.1551973513861767
10,-557.7810004082528,-0.00024764492373769917,18852,-0.39810380942435697,-0.14436226613297345
10,-473.98945710344435,-0.000235201521572042,18852,-0.3382994550939389,-0.13710850252689652
10,-401.2674697781498,-0.00021566261799962867,18854,-0.28639575066169803,-0.12571848348311895
10,-338.5701708808204,-0.0002052722921607266,18849,-0.2416469451029294,-0.11966154130427327
10,-282.1031640945977,-0.00017940184313878648,18853,-0.20134487226084108,-0.10458060772276935
10,-230.3736250206773,-0.00015859627118810192,18851,-0.16442406185313485,-0.09245219632769168
10,-181.82900116575993,-0.000136596430824004,18852,-0.12977641399569595,-0.07962759745608818
10,-135.13025422687855,-0.00010649737627206442,18852,-0.0964462198189392,-0.06208163827389913
10,-89.96915101271611,-7.371935140081149e-05,18851,-0.06421348472361409,-0.042973998681056155
10,-45.81519938856252,-3.609911597705685e-05,18853,-0.03269958172252822,-0.021043638242973714
10,-3.791832367249423,-5.179381025486631e-06,18855,-0.0027063361946636825,-0.0030192711835972507
10,37.05621500749114,3.0148658271392233e-05,18849,0.02644805102097913,0.01757487520130516
10,81.30663565787694,6.939241247496703e-05,18853,0.05803080664846567,0.04045165055727433
10,126.4194191340328,9.8363740872764e-05,18849,0.09022905460321638,0.05734021244364039
10,173.027509968726,0.00013168266758301463,18852,0.12349454499766706,0.07676316564782114
10,221.1488146100855,0.0001625344488287808,18853,0.1578400581617468,0.09474791973708722
10,271.85341232672204,0.00018433126912072596,18851,0.19402933942365455,0.10745416997773921
10,327.3683834105871,0.00020217126078681476,18852,0.23365191791305037,0.11785382439358251
10,389.39913775768014,0.00022657452343248846,18851,0.27792499209264704,0.132079475553301
10,460.78445243959396,0.00023213058719239157,18852,0.32887467609232796,0.13531833037436108
10,543.9638195412778,0.0002573515542816813,18853,0.38824210324465197,0.1500206546058541
10,645.0189334022994,0.0002693862606670745,18851,0.4603679479049026,0.15703617287216226
10,776.4227891817778,0.000282992665642805,18851,0.5541545335372037,0.16496789796699973
10,962.8032857348413,0.00030303084269643003,18853,0.6871794763478588,0.1766489637646537
10,1287.372864247069,0.0003203022806080167,18851,0.9188338093825126,0.18671718514654037
10,3003.9268668634045,0.0003320691174945621,18852,2.1439861308563866,0.1935765514219338
13,-3605.695433481322,-0.0003894163657150923,14501,-1.9698469640995804,-0.1883888704601356
13,-1595.3354779263395,-0.00038226686564940066,14501,-0.8715563490839227,-0.18493014001038421
13,-1196.9830751692832,-0.0003566932677968272,14500,-0.6539302945019542,-0.17255834047339996
13,-966.9249738092325,-0.0003375567204117248,14502,-0.5282460094892675,-0.16330060796961532
13,-806.4923093615121,-0.0003066187751565133,14499,-0.4405991733005487,-0.14833368548220502
13,-679.6206705786506,-0.00028770359923729406,14501,-0.37128724246853684,-0.1391830463727446
13,-576.4284768687272,-0.0002785021432083945,14500,-0.31491175728175635,-0.134731636364103
13,-488.6165983263144,-0.0002448062052750764,14501,-0.2669387752177545,-0.11843047327688712
13,-411.77523207867125,-0.00023268213771209136,14500,-0.22495915303040873,-0.11256518461759078
13,-342.979174933644,-0.0002095731211346563,14502,-0.18737480715061544,-0.10138568135641386
13,-279.35748147281976,-0.00017811290548751187,14501,-0.15261729586695258,-0.08616609889404246
13,-220.15204019247756,-0.00015750896028764476,14500,-0.12027245118558823,-0.07619847990068626
13,-163.65926843468918,-0.00012001305591577218,14499,-0.08940957965536407,-0.05805899811869456
13,-109.11082684587336,-8.093261481628614e-05,14501,-0.05960892565050087,-0.03915296127995905
13,-56.01814905886382,-4.188969270211833e-05,14501,-0.03060357783783744,-0.020265075088929194
13,-4.368496993805428,-7.794068470143465e-06,14503,-0.0023865772081080403,-0.0037705548216572507
13,46.28841407036016,3.7498168950445836e-05,14498,0.0252880737188186,0.01814057732249037
13,99.50451958272967,7.58854822325391e-05,14501,0.05436085199935471,0.036711298087995774
13,153.9832500104277,0.00011017383985788754,14501,0.08412342172293985,0.05329905744194792
13,209.62814134233636,0.00015340112074465064,14499,0.11452308311419061,0.074211220710603
13,268.5628429057628,0.0001817567224441367,14503,0.1467200185172295,0.0879288767869579
13,330.71298692063374,0.00020943265010881602,14498,0.18067359966810384,0.10131772535810385
13,398.2953492352376,0.0002347262479104015,14500,0.21759488536404115,0.11355406861235702
13,474.31951390781745,0.00025707240748851077,14502,0.25912805774124814,0.12436452275008046
13,559.5511480362145,0.00027701946536134845,14499,0.30569141253102505,0.13401435781740315
13,660.5712980259218,0.00029368537033012525,14501,0.3608802767712803,0.14207686183286328
13,786.3109681307903,0.00032168103774533733,14500,0.4295737956755694,0.1556203916545865
13,948.747056300331,0.00033911174557055057,14501,0.518315133107956,0.16405288614536773
13,1175.376203445843,0.0003658168669919956,14500,0.6421261276072995,0.17697208549860594
13,1577.640943642815,0.00038140974239246774,14501,0.8618895524055622,0.18451548747794072
13,3619.371138130134,0.0003981385538853058,14501,1.9773182122350266,0.1926084239303908
16,-4167.451728603643,-0.0004453325826438269,11782,-1.8662381896213864,-0.18713167902739664
16,-1874.2439357191324,-0.0004357917051495123,11781,-0.8393104077242217,-0.18312253957861363
16,-1400.3873208607245,-0.00041266130074436315,11781,-0.6271113545273226,-0.17340299157873126
16,-1128.9615351656996,-0.00037983876439047634,11781,-0.5055634159068625,-0.159610746013908
16,-939.0284167712214,-0.00035393097986746166,11782,-0.42050893606999057,-0.14872412462885373
16,-793.3868681670289,-0.0003326786313665906,11781,-0.3552887877152515,-0.1397937480670648
16,-673.1935398787507,-0.00030983166808992154,11780,-0.30146467792419634,-0.13019330389282888
16,-570.1347702286638,-0.00028083180668500026,11781,-0.2553136426581372,-0.11800737147340604
16,-479.9393214032689,-0.00025726370388865703,11782,-0.2149229669911168,-0.1081038997319338
16,-398.99701478296925,-0.0002308323146420539,11780,-0.17867596675976416,-0.09699725619963379
16,-325.22953301005333,-0.00019231457045363137,11781,-0.14564194486769955,-0.08081184686008841
16,-256.0526034605786,-0.0001658980770253408,11782,-0.11466363097869027,-0.0697114626485746
16,-190.1110216460005,-0.0001312146805535333,11780,-0.0851341471884503,-0.05513727142813755
16,-127.24199092373765,-8.897957023111813e-05,11783,-0.05698059107811245,-0.03738980039958706
16,-65.50137568884712,-4.664859626734079e-05,11779,-0.029332353856495127,-0.01960204683868899
16,-4.954917585975084,-6.812523767726514e-06,11782,-0.0022188754729671827,-0.002862667275545643
16,53.61832186886459,3.4383988804622416e-05,11781,0.024010970360684787,0.014448378150256132
16,114.39969241197309,8.626662067077865e-05,11782,0.05122964553969747,0.0362498011582807
16,177.19743314942968,0.00012625476265665914,11780,0.0793512770829744,0.053053081319320766
16,242.60291794825275,0.0001530192606213299,11784,0.10864068977238381,0.06429969932494718
16,310.2096090803807,0.00019611694036228986,11778,0.13891583081330705,0.08240962769405806
16,382.5002341727515,0.0002278124269202627,11781,0.17128849739346402,0.09572827952494709
16,462.0950572539854,0.00026846036752830633,11781,0.20693207726046528,0.11280881140480893
16,550.8151022973685,0.0002938136941192337,11781,0.24666204824212523,0.12346244592156451
16,652.1342491806657,0.0003189792050388301,11781,0.29203405818183564,0.13403715905844896
16,771.9581799304258,0.00033808931772498507,11781,0.3456927470302071,0.14206735404695056
16,919.7154195376124,0.00036155059643135876,11781,0.4118603288777269,0.1519259376035119
16,1109.183709465104,0.0003873637129605772,11781,0.4967066525814972,0.16277277887518646
16,1378.0549256356608,0.0004163294771847435,11781,0.6171106222935993,0.17494438343508711
16,1844.6016835985574,0.00043553995104282043,11781,0.8260362280728745,0.18301675084784616
16,4185.67898700917,0.0004572792555150574,11782,1.8744005890788338,0.19215174951025288
20,-4860.11521539206,-0.0005233959295332717,9424,-1.7398385683989424,-0.18866337438631736
20,-2216.6515118529514,-0.0005083662176728327,9424,-0.7935235322832734,-0.18324576221999228
20,-1662.3311423207701,-0.0004644720223442559,9424,-0.595086269909969,-0.16742365406174572
20,-1336.2058823454074,-0.000433323158295582,9424,-0.4783389747764532,-0.15619572990695937
20,-1109.1911694150367,-0.0004036625629717649,9424,-0.3970715694484066,-0.1455042673174655
20,-934.3394718133818,-0.0003814659880803866,9424,-0.3344776362276594,-0.1375032866400645
20,-789.8464796602583,-0.0003481175529402782,9423,-0.2827516031049878,-0.12548250476343328
20,-666.7087301587078,-0.00032190365801522544,9424,-0.23867038356308384,-0.11603344031087066
20,-561.1394636394847,-0.0002888053090453998,9424,-0.20087838205949093,-0.10410280453227076
20,-466.365053692881,-0.0002555710599555083,9424,-0.16695075557027989,-0.09212318217623611
20,-378.90899310470775,-0.0002198246282749579,9425,-0.13564297365398964,-0.07923801811098159
20,-297.74244488967054,-0.00017739445478103687,9423,-0.10658673017212761,-0.06394363148038944
20,-220.40514555842054,-0.00014250533522070042,9423,-0.07890129264871529,-0.05136749426913833
20,-146.2494295787714,-9.427130756770281e-05,9424,-0.05235480784110698,-0.03398104950757471
20,-74.09538434808184,-4.785953980136738e-05,9424,-0.026524887109849463,-0.017251456815023332
20,-4.31167865173364,-9.062967083769044e-06,9426,-0.001543507608435038,-0.0032668384591770057
20,63.89640699577751,4.2493737447486954e-05,9422,0.022873826719435456,0.015317298902721927
20,134.82404431926471,8.779016262730953e-05,9424,0.048264714283170015,0.031644855041118365
20,208.02633129818494,0.00014122187751861392,9423,0.07446988772794381,0.050904858915489945
20,284.2919776988425,0.00017721959422950357,9424,0.10177169173281782,0.06388060122004954
20,363.4840332439032,0.000224560168818406,9424,0.13012110042826028,0.08094499175761814
20,447.9647751624291,0.0002546196753401833,9424,0.16036376887597764,0.09178024593669273
20,541.1447187588792,0.0002869413915049333,9426,0.19372060353638068,0.10343093653918983
20,644.8838562977494,0.00032647750590758897,9422,0.23085744999857077,0.11768213020051604
20,764.984111555899,0.00035979181464105956,9424,0.2738512982742089,0.12969061086754916
20,907.7544522222108,0.00038227008639098896,9423,0.324960651469793,0.13779313203636298
20,1081.5318133191056,0.0004177753576784712,9424,0.38716999049810197,0.15059136739056475
20,1306.57076303615,0.00044654372806823085,9424,0.46773010620682387,0.16096121844799918
20,1628.9553192898295,0.0004670760060619051,9424,0.5831382930436215,0.16836228641881584
20,2183.450807017557,0.0005123706322257995,9424,0.7816382447518773,0.184689194083664
20,4858.064080967078,0.0005306857983879671,9424,1.7391042971680353,0.19129108159486785
25,-5650.562800374446,-0.0006118015378035798,7539,-1.6118334908894636,-0.18966235474419926
25,-2629.7244993225513,-0.0005762184853441435,7539,-0.7501337777432949,-0.17863138293155606
25,-1963.6879795921511,-0.0005233838803497408,7538,-0.5601456284945546,-0.16225232048069435
25,-1577.3076374414516,-0.000499067280921332,7539,-0.44992992119216746,-0.15471402052231126
25,-1308.1553370094762,-0.0004601768639545816,7538,-0.37315372963166443,-0.14265774474801637
25,-1099.232615687791,-0.00042694954087916864,7539,-0.3135581369215466,-0.13235706397667715
25,-928.7549367704994,-0.00040053449504724834,7538,-0.264929063670687,-0.12416823233178777
25,-781.8610176378206,-0.0003588130310726778,7539,-0.2230273015222564,-0.11123431403991708
25,-657.4168120689139,-0.0003218134475735716,7538,-0.1875293616940671,-0.09976420862601396
25,-544.358337466044,-0.0002784582658917969,7540,-0.15527922268460315,-0.08632382748926709
25,-443.02504876958807,-0.0002351392008645446,7537,-0.12637371464351124,-0.07289464274435473
25,-347.7598103735187,-0.00019583127718640077,7540,-0.09919912917493136,-0.06070893724307901
25,-258.15933840066634,-0.00015529203035915374,7537,-0.07364042880692982,-0.04814151376059591
25,-171.26312274154168,-0.00011041259978861764,7539,-0.048853122554595264,-0.03422860580657986
25,-88.75024902709625,-6.050681180079592e-05,7538,-0.02531617270003162,-0.01875749519264433
25,-7.934689432053836,-1.1030208716674185e-05,7539,-0.002263384837620698,-0.0034194346193292245
25,72.57147615757493,4.1436785938643005e-05,7538,0.020701147812446936,0.012845666296245083
25,155.52742910844742,9.792661579706586e-05,7539,0.044364486838783614,0.03035787162431898
25,241.22253808258282,0.00014905104825211848,7538,0.06880917518748765,0.04620676974771515
