horizon,volume_imbalance,order_flow_imbalance,impact,observations
5,-2305.3852628058635,-4.061144863719971,-0.05717518532969153,17941
5,-888.1392426180281,-4.0532169270978144,-0.05949007395873863,17983
5,-672.5881176012894,-4.129772689379203,-0.06017840271216631,17993
5,-565.5506970494373,-4.1529029729578415,-0.05715581434410168,17861
5,-500.0075837840852,-4.226900128255172,-0.05106563319020793,17933
5,-448.8114396242056,-4.121414755457309,-0.05685935341254526,18095
5,-408.0041058647284,-4.235976252566165,-0.05367835543472222,18023
5,-378.2764540802289,-3.7982171353106255,-0.050459472844329605,18173
5,-343.68182329769274,-3.963646595385481,-0.05393669105233564,17770
5,-315.64485108253655,-4.001099021870536,-0.05422326629299915,18198
5,-296.9768687329079,-3.6391294439380126,-0.04513930036463081,17552
5,-272.8637794420927,-3.5427113860848802,-0.04665526972755906,18426
5,-247.98669424721865,-3.5467658075697432,-0.047438922122211694,17887
5,-226.16511279926334,-3.542817679558011,-0.04664566068139965,17376
5,-206.70519215239182,-3.371668804332336,-0.04268348296993031,21051
5,-191.272414910859,-2.6636628849270663,-0.03291831442463553,15425
5,-172.1608129894058,-2.759903270382312,-0.034398894518654986,17368
5,-151.56262937062937,-2.7015944055944057,-0.0346542657342656,17875
5,-131.34320151077537,-2.6632970451010887,-0.033291768495889926,18004
5,-112.7872929706974,-2.5067855758045754,-0.03163573921231909,18053
5,-97.65365420871687,-1.6896972385494067,-0.018730176333592193,18034
5,-79.50442378134686,-1.404282896590589,-0.014762468300929685,17745
5,-58.4954068598141,-1.4086535848236126,-0.014869543947382439,18397
5,-37.929679595278245,-1.2295671725688588,-0.012845980888139284,17790
5,-17.728275326978498,-0.9986699179782753,-0.009686322323209968,18044
5,-0.8412769282285969,-0.09208617033151022,-0.0001716151356179328,17918
5,15.8845589893977,0.8859688698398376,0.010329066095195068,17732
5,35.82989339986391,1.148446359718757,0.01262049217509644,17636
5,56.67603770464693,1.3128824210352241,0.015470481230362437,18141
5,78.1405977312391,1.3753272251308901,0.015938318062827365,18336
5,96.78807539571564,1.6037250405503662,0.02019464175848783,17879
5,112.21763312957762,2.403381243460543,0.031057051599757822,18159
5,131.34871355060034,2.6206975414522584,0.03338421955403073,17490
5,151.93531101535743,2.6462269362501383,0.03528947077670955,18102
5,173.60738065681073,2.6813000789978556,0.035113418350073054,17722
5,194.44334156025326,2.752655864363129,0.03486667024358817,18638
5,209.5623368920522,3.4510083036773427,0.04704922894424649,16860
5,229.06174400703762,3.501649439190675,0.046736034748185454,18188
5,252.7215977300011,3.481065153334061,0.04715759030885095,18326
5,278.59340470601705,3.4276635942062175,0.04566067441461045,17467
5,300.3594185139802,3.735991979503175,0.048401191934944826,17954
5,321.21705933682375,3.9594240837696337,0.0541380344677138,18336
5,351.0253208463406,3.903110186148688,0.05228928199791952,17298
5,387.02019527235353,3.881192189105858,0.04901567317574512,19460
5,414.9113924050633,4.206071150038994,0.057143199952006896,16669
5,458.7087669683258,4.047963800904977,0.05566742081447985,17680
5,507.6249791004849,4.2279997770718385,0.05313297664827526,17943
5,578.4209971130358,4.135243171219187,0.05782978014656906,18012
5,686.6764130374015,4.114887907418796,0.058994241627997886,17887
5,902.1775329903825,4.013307984790875,0.05850928203981217,17884
5,2305.303892048623,4.054756328761012,0.0570968551354965,17934
10,-3758.07393777183,-7.368796699007472,-0.08994981599197037,8967
10,-1534.9507356219349,-7.40615247436469,-0.09991306286223853,8972
10,-1183.7098214285713,-7.474553571428571,-0.09867243303571473,8960
10,-1003.877855789591,-7.499164159144099,-0.09338515546639946,8973
10,-884.8916398356833,-7.440435217053403,-0.09362162762295972,9007
10,-795.6697268248993,-7.305418719211823,-0.09197939991043486,8932
10,-723.1962285080422,-7.151414309484193,-0.08763061564059933,9015
10,-661.8419944598338,-6.973739612188366,-0.0883130193905814,9025
10,-607.3591042088678,-6.7204591492234975,-0.08143990546927783,8886
10,-559.1342505270165,-6.450460446022412,-0.08231387995118168,9013
10,-513.7895895234951,-6.2810608561681525,-0.07780015406624845,9087
10,-472.9770610947082,-5.839654780831252,-0.07358278446513784,8806
10,-432.83476916280097,-5.673956262425447,-0.0697884912745753,9054
10,-396.17065192871644,-5.228964583803293,-0.06394540942927986,8866
10,-359.95894655305966,-4.992143410423814,-0.06317195972114631,9037
10,-323.87815635681994,-4.6560811555849595,-0.05721358473922126,9069
10,-290.8510614144625,-4.12305596548984,-0.04906175502327273,8809
10,-257.347973713034,-3.790799561883899,-0.04590690032858716,9130
10,-223.70786641517807,-3.4882946854543437,-0.04017197381559973,9013
10,-192.358646953405,-2.8440860215053765,-0.0339006496415769,8928
10,-160.31724683544303,-2.3921790235081373,-0.028460103978299994,8848
10,-128.46926873037236,-2.139075818752804,-0.024823912068192473,8916
10,-97.20509442248573,-1.5322793148880105,-0.016728151075976815,9108
10,-64.97948774808737,-1.0107550726244594,-0.010494511586650648,9019
10,-32.93087610517855,-0.6930761281433,-0.006955448386726005,8709
10,-1.9905846288592073,-0.10028465075541931,0.0013334793080792392,9134
10,29.86077213223874,0.6547592633680941,0.008027512757931987,9014
10,62.391919420552284,0.9961521050248981,0.012206880941602835,8836
10,94.2527104057226,1.3859394210349838,0.01774673074773684,8947
10,125.94803771102828,2.039026529269897,0.027041219030914745,9122
10,158.92540661805944,2.352439708356702,0.031113853056646282,8915
10,191.92242927705433,2.733947013920072,0.03610967669510582,8908
10,224.18821038555828,3.296411856474259,0.04256964564296881,8974
10,258.7702358542797,3.6190898017938213,0.047832465950614377,9031
10,293.90496469797154,4.009413874257537,0.050955396167208296,8923
10,328.2629804450438,4.459653854798831,0.057943919982018206,8898
10,364.74136961655233,4.8094006521983586,0.06237715056786229,8893
10,401.9220098306936,5.141671217913708,0.06463517203713817,9155
10,439.76904734869987,5.4856364255705685,0.07089190416714003,8807
10,481.1750518389174,5.804430863254392,0.07103295863800055,9163
10,522.197107720337,6.177408335231155,0.0803712138465044,8782
10,569.06678539626,6.341273374888691,0.08117097061442612,8984
10,618.5372346400089,6.759294619791081,0.08568965517241373,8903
10,675.3016346366247,6.843163242765629,0.08527115087254276,9054
10,737.3786571012218,7.0965138437394915,0.08920580652393263,8921
10,812.4410222073429,7.21013279767883,0.0905194732730725,8961
10,905.059078289839,7.369905607995558,0.09142420877290375,9005
10,1027.4872597228432,7.453509164059008,0.09165400089405479,8948
10,1211.6128489741002,7.4732593340060545,0.0994276264155172,8919
10,1571.7715497990175,7.33273782938812,0.09777746761947342,8956
10,3728.5531748688763,7.333110143957148,0.09158855038500173,8961
20,-5975.314757021846,-12.846188140882747,-0.150599643334819,4486
20,-2642.033697835305,-12.96183887525106,-0.1635114929703193,4481
20,-2046.7948717948718,-12.94180602006689,-0.15846711259754806,4485
20,-1732.4407498326266,-13.081008703414417,-0.1585193037268473,4481
20,-1523.1953385127636,-12.654827968923419,-0.1501354051054386,4505
20,-1364.7713195691204,-12.057001795332136,-0.14290170556553006,4456
20,-1234.1159484673478,-11.52021323856064,-0.13514771212794313,4502
20,-1121.794281885191,-11.127094036184944,-0.13312374357828965,4477
20,-1022.7464285714286,-10.472321428571428,-0.12548660714285753,4480
20,-935.3207003546099,-9.85195035460993,-0.11854166666666645,4512
