horizon,train_observations,test_observations,test_first_date,test_last_date,model,features,train_mse_cents_squared,train_rmse_cents,train_mae_cents,train_r_squared,train_sign_accuracy,test_mse_cents_squared,test_rmse_cents,test_mae_cents,test_r_squared,test_sign_accuracy
5,709635,205013,2019-10-18,2019-12-31,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",51.00519560058607,7.141792184079993,5.052048571514392,0.2992516002416692,0.7845867074931211,58.61877693875315,7.656290024467016,5.401385727100095,0.28204972901179515,0.783977491021465
5,709635,205013,2019-10-18,2019-12-31,OLS volume and count,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, order_flow_imbalance",51.023111034570924,7.143046341342812,5.051224144630955,0.2990054643030058,0.7846620515896098,58.63093580039693,7.657084027251949,5.4023910664705275,0.2819008098690232,0.7843637768312035
5,709635,205013,2019-10-18,2019-12-31,OLS volume transforms,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance",54.56113805723239,7.386551161214034,5.191244820223831,0.2503973422237078,0.7708153135369231,62.306537154392686,7.893449002457207,5.522933325881249,0.23688282884046852,0.7707811325482335
5,709635,205013,2019-10-18,2019-12-31,OLS signed volume,volume_imbalance,66.80763952950244,8.173594039925304,5.567229424509787,0.08214553555417958,0.7705757193100892,75.59578705123491,8.694583776767862,5.983383248725521,0.07411893196427444,0.7706349703499541
10,354768,102495,2019-10-18,2019-12-31,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",97.69783082219305,9.884221305808214,7.126159219545311,0.3574775096802735,0.7787482736061642,106.88839938281801,10.338684606023051,7.474443790233339,0.3597591076026617,0.7847439077043568
10,354768,102495,2019-10-18,2019-12-31,OLS volume and count,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, order_flow_imbalance",97.7669379168467,9.8877165168125,7.1243472318192795,0.3570230178846836,0.778582539797921,106.95685211586228,10.341994590786744,7.478067127997642,0.3593490889369847,0.7848643981002681
10,354768,102495,2019-10-18,2019-12-31,OLS volume transforms,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance",107.48485668193281,10.367490375299743,7.456298388715137,0.293111861279459,0.761267718252526,117.1836143540907,10.825138075520824,7.792725973661798,0.29809275598088214,0.7694416274236141
10,354768,102495,2019-10-18,2019-12-31,OLS signed volume,volume_imbalance,132.9782577957875,11.531619912041304,8.07119758313738,0.1254511933552669,0.7614683433888202,147.22861433389747,12.133779886494459,8.637637514325977,0.11812900210094868,0.7699135481409336
20,177337,51238,2019-10-18,2019-12-31,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",191.71255364354874,13.846030248542315,10.115145645083693,0.3997149632906226,0.7746589476097673,204.14664770613385,14.287989631369904,10.495499866468213,0.42606815621471517,0.7880809120418019
20,177337,51238,2019-10-18,2019-12-31,OLS volume and count,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, order_flow_imbalance",191.98591090036115,13.855898054632227,10.11269276159731,0.39885903462125905,0.7743608850166227,204.205534244387,14.29005018341038,10.496214320543249,0.4259026043437758,0.7867152244477872
20,177337,51238,2019-10-18,2019-12-31,OLS volume transforms,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance",216.97949555859563,14.730223880124688,10.742617790085323,0.32059981476879806,0.751564828614009,233.12691985661255,15.268494354605256,11.214907605381475,0.3445938767415293,0.7697925738263004
20,177337,51238,2019-10-18,2019-12-31,OLS signed volume,volume_imbalance,264.7196593314814,16.270207722444155,11.600050118726788,0.17111713657026073,0.751765447667087,294.55261465728023,17.162535204837315,12.484190262880933,0.17190349622895162,0.7700498772860422
50,70877,20481,2019-10-18,2019-12-31,OLS volume and count,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, order_flow_imbalance",477.59968344347413,21.854054164924964,16.115286609816483,0.42293473718220564,0.7677704885372344,511.9103194970949,22.625435233318605,16.828124260865515,0.4718632573306506,0.7809640924741761
50,70877,20481,2019-10-18,2019-12-31,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",476.9165390166447,21.838418876297908,16.118212170631903,0.423760154224714,0.7675001067296608,512.2095042471816,22.632045958047662,16.843483696557833,0.4715545890867239,0.7825381210034432
50,70877,20481,2019-10-18,2019-12-31,OLS volume transforms,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance",548.6642053401712,23.423582248242287,17.319056978960646,0.3370702183666442,0.7414580694738939,613.9922331574411,24.77886666410393,18.54356071185316,0.3665455731335556,0.7551893753074275
50,70877,20481,2019-10-18,2019-12-31,OLS signed volume,volume_imbalance,638.4046525922021,25.26667078568528,18.333204688144217,0.22864029980911083,0.7423688292467732,754.3851429096424,27.466072578904367,20.20036766388927,0.2217025191329216,0.7545499262174127
100,35392,10224,2019-10-18,2019-12-31,OLS volume and count,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, order_flow_imbalance",954.660840180527,30.897586316418423,22.98525185948379,0.4288618789146261,0.7576523368731899,1031.840471452193,32.122273759063084,24.195562172721072,0.4826117961849329,0.7734459393106158
100,35392,10224,2019-10-18,2019-12-31,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",954.3974776418861,30.89332415979035,22.986505889403972,0.4290194389392472,0.7583338065761827,1032.2962027398266,32.12936667193779,24.20077553427941,0.4823832821860593,0.7752135912795837
100,35392,10224,2019-10-18,2019-12-31,OLS volume transforms,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance",1096.5931834649748,33.11484838354201,24.724829434216147,0.34394902981379283,0.730961440172639,1245.676594506425,35.29414391236066,26.832266923571733,0.37538951650239694,0.7404497692232151
100,35392,10224,2019-10-18,2019-12-31,OLS signed volume,volume_imbalance,1223.7457069271763,34.98207693844344,25.725615460907793,0.26787839793605406,0.7344823669714351,1457.7141909272275,38.1800234537281,28.585700502878108,0.2690690588457736,0.7445742904841403
