sample,spread_bucket,model,target_train_signal_fraction,achieved_train_signal_fraction,test_signal_fraction,confidence_cutoff,landmark_age_us,entry_latency_us,shares,train_first_date,train_last_date,test_first_date,test_last_date,train_signals,test_signals,selected_test_signals,arrived_test_signals,filled_round_trips,stale_fraction,capacity_censored_fraction,buy_fraction,direction_roc_auc,direction_accuracy,direction_log_loss,direction_brier_score,direction_baseline_brier_score,direction_clusters,direction_replicates,direction_relative_brier_reduction,direction_relative_brier_reduction_lower_95,direction_relative_brier_reduction_median,direction_relative_brier_reduction_upper_95,direction_probability_nonpositive,intercept,queue_coefficient,ofi_coefficient,clusters,replicates,midpoint_move_mean_bps,entry_cost_mean_bps,exit_cost_mean_bps,quoted_round_trip_mean_bps,quoted_round_trip_lower_95_bps,quoted_round_trip_median_bps,quoted_round_trip_upper_95_bps,probability_quoted_pnl_nonpositive
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,0,1,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,99215,99215,0.0,0.0,0.507574459507131,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.12964172377748037,1.725511679119495,1.8563484715452911,-3.4522184268871623,-3.746346439082652,-3.4505707610167335,-3.1737282933861093,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,10,1,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,96261,96261,0.029773723731290613,0.0,0.5075887431046842,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.12002385390624114,1.7426327965870767,1.8639644602244383,-3.486573402905303,-3.7840598153113514,-3.4848324527224284,-3.20533347166626,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,100,1,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,84071,84071,0.15263820994809252,0.0,0.5073568769254558,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.0893639304469523,1.8063613093957493,1.8946891940333195,-3.611686572982244,-3.9192687536034256,-3.609581782122884,-3.322402756583384,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,1000,1,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,57990,57990,0.41551176737388495,0.0,0.5052077944473184,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.044565107194879085,1.8991914325615618,1.9551912088615229,-3.8098175342282032,-4.133485551159028,-3.806780183207708,-3.503461396137114,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,10000,1,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,40521,40521,0.5915839338809656,0.0,0.518447224895733,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.02761555121190735,1.7822829898550165,1.8531094811145912,-3.6077769197578102,-3.89192548240551,-3.6056429381813384,-3.3438519038257954,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,0,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,99215,52050,0.0,0.47538174671168676,0.5080499519692603,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.11927537837167936,2.3984978080096298,2.221333295948817,-4.500555725586864,-4.871248926584885,-4.497879102869383,-4.13172672539105,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,10,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,96261,50796,0.029773723731290613,0.47230965811699444,0.5075399637766753,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.10879058428838845,2.4101859457028927,2.2253530843707914,-4.5267484457851985,-4.898413290176903,-4.523859089803934,-4.157107348932715,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,100,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,84071,45869,0.15263820994809252,0.4544016367118269,0.5092110139745798,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.07574670745665554,2.446224873090344,2.227264789070609,-4.597742954704415,-4.962345594882612,-4.593674757796789,-4.231722728954207,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,1000,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,57990,32526,0.41551176737388495,0.43911019141231245,0.5048269077046056,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.03455925858071719,2.5359715946093435,2.2456690260061896,-4.747081362034867,-5.1173771856611685,-4.744083561208771,-4.380620904453272,1.0
price_spell_round_trips,all_spreads,ofi,0.05,0.05780146048492931,0.045132581934866974,0.10076249300826984,100,10000,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,99215,40521,22894,0.5915839338809656,0.4350090076750327,0.5218834629160479,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.013496086133460108,2.37540120148478,2.147415908543636,-4.509321023895041,-4.837858459754597,-4.507207208429611,-4.180518286424913,1.0
