model,features,test_mse_cents_squared,test_rmse_cents,test_mae_cents,test_r_squared,test_sign_accuracy
Ridge count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",83.82210211933277,9.155441120958223,6.958285698775867,0.38297607174100223,0.7824293605159486
OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",83.82217813648049,9.155445272431074,6.958290956438258,0.38297551217022174,0.7824293605159486
OLS volume and count,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, order_flow_imbalance",83.88148068809667,9.15868334904623,6.96138984082739,0.3825389794130033,0.7825425071230933
OLS volume transforms,"volume_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance",92.11342926538357,9.59757413440415,7.2625426503560435,0.3219426793923654,0.7658688116520433
OLS signed volume,volume_imbalance,103.11838346974753,10.154722225139766,7.6534227996271005,0.24093397283642592,0.7664139725773769
