sample,spread_bucket,model,train_months_before_first_origin,evaluation_months,evaluation_dates,evaluation_first_date,evaluation_last_date,test_observations,relative_brier_reduction_vs_intercept,roc_auc,log_loss,brier_score,accuracy
price_spell_landmarks,all_spreads,intercept,6,6,127,2019-07-01,2019-12-31,4904599,0.0,0.49642675341367526,0.6931393518709409,0.24999608565495987,0.5035286269071131
price_spell_landmarks,all_spreads,ofi,6,6,127,2019-07-01,2019-12-31,4904599,0.006279806738898164,0.5273441433245746,0.6900380593469482,0.24842615855156572,0.519127455679863
price_spell_landmarks,all_spreads,queue,6,6,127,2019-07-01,2019-12-31,4904599,0.00721879178918472,0.551401915442311,0.6895320972087416,0.24819141596450564,0.5418840561685063
price_spell_landmarks,all_spreads,queue_and_ofi,6,6,127,2019-07-01,2019-12-31,4904599,0.011660042705504914,0.5615879626267537,0.6873092048299535,0.24708112062001408,0.5466844486164923
price_spell_landmarks,one_tick,intercept,6,6,127,2019-07-01,2019-12-31,32651,0.0,0.5103608697473389,0.6933513378776365,0.2501020731334808,0.4865700897369146
price_spell_landmarks,one_tick,ofi,6,6,127,2019-07-01,2019-12-31,32651,0.024191650090255035,0.5833052891426276,0.6810304282212041,0.2440516912933882,0.5300603350586506
price_spell_landmarks,one_tick,queue,6,6,127,2019-07-01,2019-12-31,32651,0.03773029415217766,0.6136343097908267,0.6743903994546305,0.24066564834608511,0.586168876910355
price_spell_landmarks,one_tick,queue_and_ofi,6,6,127,2019-07-01,2019-12-31,32651,0.05551710778483898,0.6347271495115595,0.6649956534601315,0.23621712938211764,0.5976233499739672
