date,signed_transactions,buy_fraction,included,exclusion_reason,dfa_exponent,dfa_r_squared,fluctuation_16,fluctuation_32,fluctuation_64,fluctuation_128,fluctuation_256,fluctuation_512,fluctuation_1024
2019-01-02,34407,0.5296596622780249,True,,0.6814985164745189,0.9952458772899854,1.2423056954202796,2.2223025311872298,3.7450064161509857,6.081830672443976,9.598425836757933,14.522025523466922,21.34243372725488
2019-01-03,19720,0.5168864097363083,True,,0.6796983422073815,0.9984410598975337,1.2231187470891711,2.1229336321683463,3.512572776212425,5.548810282934464,8.714017570902133,13.691715787800629,21.18098314639957
2019-01-04,21197,0.48544605368684246,True,,0.6983580732270218,0.9979509627966308,1.277604768580892,2.2824516919281397,3.810001364873762,6.084120116168338,9.523386172406516,14.5399511314512,25.10631616119944
2019-01-07,22170,0.43175462336490755,True,,0.6829861052523941,0.9911155273819384,1.2132927710028485,2.30103263692159,4.009459758696907,6.393773553042858,9.753651944750533,14.98294623619987,21.46589612727349
2019-01-08,17636,0.47340666817872534,True,,0.6691357696121402,0.993922993344209,1.2186420509743672,2.2110783139162655,3.793126127468066,5.917129491165496,8.841973492666627,12.635390994371972,21.812991555097817
2019-01-10,17485,0.45621961681441237,True,,0.7039712450480712,0.9924019458873652,1.2287150439449583,2.2241854339140747,3.8501868692079966,6.696045468576438,10.48082311475756,15.690433485630024,22.736536890994937
2019-01-11,13647,0.5016487140030776,True,,0.6939839038058202,0.9960925980743083,1.204067539046941,2.2267010312586217,3.7112699814959367,6.043615594816216,9.296851833255259,14.903444182845409,22.239395199201205
2019-01-14,14895,0.4828465928163813,True,,0.725283176026566,0.9977699954646813,1.1939415968895535,2.1971209645028935,3.777218075621777,5.99729142211596,9.541544132586456,16.391032096559176,25.047511187650148
2019-01-15,18874,0.5151531206951362,True,,0.720927574351412,0.9983171633262151,1.224316438449705,2.2377013297643997,3.788247363091212,6.018265137203049,9.952749737462671,15.868011704231625,25.494090933168202
2019-01-16,13280,0.48727409638554214,True,,0.6876866837493857,0.9953597205663283,1.2250043392530567,2.2452495233452208,3.6644516313634043,5.571579282898588,8.792204216743439,12.798942633609515,24.526487949256868
2019-01-17,10478,0.4552395495323535,True,,0.6716655045661233,0.9974514229698369,1.24120409969201,2.1858427176834527,3.559435990926458,5.528892374092293,8.447604297914838,12.668392085681983,22.23878288540232
2019-01-18,57160,0.5039363191042687,True,,0.7535633897011816,0.9979419875155024,1.1583140000623429,2.1047724426556913,3.727617877655817,6.277986699502418,10.470067962430683,16.783151494382686,26.941994311476876
2019-01-22,30870,0.5053126012309685,True,,0.7206044549509247,0.9977913748671239,1.1742841231462526,2.094696022358195,3.612110176730469,6.065249777551356,9.413077669160836,14.76900442858551,24.561186997887383
2019-01-23,31441,0.44899971374956266,True,,0.7487001745322377,0.9976312086684586,1.1707081886845194,2.1742128245463603,3.817398621570576,6.3566071521803345,10.535127273281628,16.501233358249543,27.430872746011666
2019-01-24,20132,0.5407808464136697,True,,0.6979967300724287,0.9948725724162514,1.204514719348506,2.1894830732652326,3.7931792995482634,6.112396779965336,9.9425442715764,14.743167103327773,22.400041254914946
2019-01-25,18283,0.5082316906415796,True,,0.6473098727714895,0.9957050079717553,1.2658455387109018,2.2704762533489107,3.630265847396927,5.451169236592477,9.02195318552266,12.924577287272584,19.30860224059924
2019-01-28,17646,0.5299784653745891,True,,0.6851586269829448,0.9915133080675289,1.200242952856297,2.2060768164151123,3.8305744219038758,6.280081972366395,9.197326488294866,15.420976192062684,20.630348313358496
2019-01-29,13076,0.5339553380238605,True,,0.6581704278756328,0.9940152528728542,1.2225060593885797,2.1938678551691853,3.5912041403524593,5.833419562464008,9.068214382934114,12.98638432864068,19.386957153698265
2019-01-30,29011,0.5628209989314398,True,,0.6753022629456479,0.9984633161328523,1.2757209170772885,2.2455909628121353,3.6726712071351755,5.677553500835078,8.855171904014197,14.085918044006249,22.082720318733635
2019-01-31,32709,0.5500932465070776,True,,0.7340733064919078,0.9958831131520616,1.1472234191230979,2.1347500893188887,3.7690493183434697,6.262401400020734,10.344958153975323,15.627377956991905,25.094878701829195
2019-02-01,20607,0.4573688552433639,True,,0.6937060214896876,0.9981147453290997,1.2251340919636395,2.2364638621837547,3.6727069703701996,5.487207894400664,9.055078036341575,14.489589883102589,23.205869179932893
2019-02-04,19340,0.5180972078593589,True,,0.6616798304508122,0.9930872723556868,1.2326821285281768,2.190964942903889,3.6996384088288687,5.699565757311898,9.451525845209567,13.671847868768191,19.231218646688756
2019-02-05,19641,0.4805763453999287,True,,0.7124534637127572,0.9969584325426292,1.2141647107703002,2.2240275183567095,3.884563998658953,6.120771748981687,9.411255091826108,14.923887399367596,25.511345759288236
2019-02-06,13939,0.4828179926824019,True,,0.6789236845244694,0.9970357678501486,1.227712427034415,2.1617281708428346,3.6014168161613207,5.91597497945396,8.847034223963343,13.6051277851194,21.572502381983902
2019-02-07,18801,0.49795223658316046,True,,0.657628171158251,0.9956951388883529,1.2524067111339896,2.2270494226341104,3.700140947786249,5.8426459607810175,8.769389317183158,13.308700041581522,20.086550238211164
2019-02-08,17811,0.5043512436134973,True,,0.6673107624684144,0.9962122708127936,1.2398389555134102,2.181983122965024,3.561552631394977,5.795401441791238,8.854739032767768,13.946868014893449,19.92147376981172
2019-02-11,18763,0.48712892394606405,True,,0.7115270181408557,0.9987396991381375,1.2212785844880054,2.1561285249982363,3.663256335496989,5.878414786962617,9.390042551224218,15.187226845723844,24.236014481513614
2019-02-12,13592,0.4409947027663331,True,,0.6655421110556076,0.9948268996062527,1.2122302550073074,2.168633989704486,3.6804619059101853,5.811183617269623,8.890233096811166,13.254092413219043,20.031877303704732
2019-02-13,12068,0.4677659927079881,True,,0.6941019823501435,0.996780988209913,1.2056815262220222,2.1117007663327576,3.6284708400263526,5.925299885530191,8.275594802860587,14.269819194012369,22.847648420556087
2019-02-14,13372,0.4970086748429554,True,,0.652874414061188,0.992067366551885,1.245247305262458,2.247677069378061,3.7451849393273844,6.101939850463329,9.21697044113482,12.951315614302164,19.595452021737074
2019-02-15,9978,0.5123271196632592,True,,0.672191814171395,0.9967635733141265,1.2433531143045664,2.1896360936989794,3.617621959814591,5.53738157131666,9.368803538435357,13.469311004140362,20.866883964107682
2019-02-19,11866,0.49814596325636273,True,,0.636368957152148,0.9981731868437608,1.2553976715822095,2.118868857593226,3.410750100129444,5.202254233407647,7.96542890890886,11.858606093067534,18.421537220563756
2019-02-20,18164,0.4875027526976437,True,,0.6828379943901564,0.9964077806214903,1.265341666838019,2.2469685638450003,3.7157276743168604,5.781919717654625,9.412432995728631,15.391618697645237,21.332461740934196
2019-02-21,22419,0.49328694410990676,True,,0.6993023562540644,0.994851884662992,1.2210835986225252,2.260833871855932,3.9438950249512463,6.406884473471167,9.695538365597542,14.752685923550441,23.89080421775096
2019-02-22,15502,0.49645207070055475,True,,0.7215809416319001,0.9992980582232013,1.2407442474626027,2.121060951324663,3.6574347943775956,5.8343333245228814,9.210139401895272,15.314799863373509,26.00021987308089
2019-02-25,16527,0.4789738004477522,True,,0.6500411644081674,0.9912264574681886,1.2413409195526808,2.282193903559976,3.836730451073154,6.04432129123971,9.199177626984312,13.203995047940385,19.2940879983077
2019-02-26,21932,0.5143625752325369,True,,0.6997254569477662,0.9980761788869001,1.2115901636056476,2.1538788734282015,3.6089041636135177,5.773608659655219,9.405927249008327,14.312686590990088,23.030586891868555
2019-02-27,27677,0.4923221447411208,True,,0.7148153063878383,0.9947017547748762,1.2219958425231836,2.255248780758769,3.94234868287554,6.474940805914733,10.71693694067808,15.550806232581179,24.63845468288585
2019-02-28,23713,0.48521907814279086,True,,0.6906977606059914,0.9954925303867892,1.2261080696875144,2.238159402422464,3.8080655521838214,6.202580517297829,9.554483958483084,14.710166929500817,22.428679011351868
2019-03-01,54412,0.5348452547232229,True,,0.7303671825585331,0.9928425574622344,1.1839817119653604,2.2358799544106867,3.980450217301319,6.81946920951648,10.994666431552284,16.584694254736927,25.011422577014187
2019-03-04,43750,0.49382857142857145,True,,0.6886984633586009,0.988765079394003,1.2028925601151248,2.223025276235423,3.987694928252001,6.503943979876968,10.323477188448505,14.9707781722516,21.149585210588594
2019-03-05,44554,0.5036360371683799,True,,0.7401784588870979,0.9929828771437201,1.1835135415794413,2.275731813447652,4.088376421670685,7.014150422941383,10.903221920209218,17.827322624447692,25.990249431751245
2019-03-06,23390,0.5324070115433946,True,,0.7126186437043748,0.9951843141648338,1.2066481478826365,2.242146255170927,3.8376604125664557,6.458035185388256,10.182965956527843,15.706215047699018,23.9270494595619
2019-03-07,22189,0.4915047996755149,True,,0.7347263108943404,0.9978245450012068,1.209426795589177,2.2233446777556005,3.909496254861465,6.322805931018307,10.059479388610102,16.260082601168804,27.163195541465484
2019-03-11,19711,0.5353863325046928,True,,0.6708499698138667,0.9964233063191159,1.2515928023549907,2.241276517527441,3.6271415058008953,5.578019593726768,9.485165559201786,13.757106651324127,20.7863132886588
2019-03-12,17604,0.49164962508520793,True,,0.6934542168891357,0.997120590663319,1.2521176668065195,2.298798737271663,3.847946512946656,5.843633333357541,9.098377484140256,14.276243198624833,24.698070670951232
2019-03-13,15918,0.5304058298781253,True,,0.6661701141977932,0.9926873431142434,1.1995278362258326,2.196094341476049,3.740138290796719,6.017423723711282,8.986779626431245,13.494371736457715,19.86632230616827
2019-03-14,17669,0.49340653121285866,True,,0.75120935631521,0.9992012155169692,1.1829425013366042,2.1090929696267575,3.6814383416284286,5.935123393756668,9.756835811446978,16.1627588886736,28.370114818564875
2019-03-15,28685,0.4842252048108768,True,,0.7399611781000175,0.9988522135636491,1.2042686322758052,2.136238881342271,3.6479468242094644,6.201779992512184,10.151402871641892,16.343273563229605,26.451042405229522
2019-03-18,23021,0.46566178706398503,True,,0.70137841601558,0.9947079139287156,1.1978426710961063,2.226034612088426,3.8973844462464564,6.292847059980624,9.242546989689597,15.442112784035531,23.078764537736287
2019-03-19,23444,0.49863504521412727,True,,0.7033338495547281,0.9938051481088138,1.1901872247996086,2.184345665306907,3.763675458310772,6.3309625450862415,10.03125010463613,15.094650639084524,22.393878609793152
2019-03-20,17484,0.5546785632578357,True,,0.6818865353194175,0.9980748525061233,1.2615699600000665,2.2075972876347705,3.6166890319279683,5.8054968393198045,9.30013070427843,14.167757696585793,21.966894928780192
