sample,spread_bucket,model,train_first_date,train_last_date,test_first_date,test_last_date,train_observations,test_observations,train_upward_fraction,test_upward_fraction,intercept,queue_coefficient,ofi_coefficient,roc_auc,log_loss,brier_score,accuracy
best_quote_updates,all_spreads,intercept,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,0.4972002337025842,0.502589075641886,-0.011199182239885282,,,0.5,0.6931918537183174,0.2500223363047674,0.497410924358114
best_quote_updates,all_spreads,ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,0.4972002337025842,0.502589075641886,-0.006306315607543829,,2.423388298617493,0.6161326269477502,0.6636469268990998,0.23600239964423972,0.5682584754747337
best_quote_updates,all_spreads,queue,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,0.4972002337025842,0.502589075641886,-0.008312180255130308,0.3820500428110602,,0.537686899035067,0.6926100394648536,0.2497167967510826,0.5316336114590415
best_quote_updates,all_spreads,queue_and_ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,0.4972002337025842,0.502589075641886,-0.003946230047969908,0.280973723575477,2.2770411109335558,0.626762264854621,0.6638665129858572,0.23599256116757628,0.5839563290904043
best_quote_updates,one_tick,intercept,2019-01-02,2019-10-17,2019-10-18,2019-12-31,389538,61829,0.48896641662687595,0.4925035177667438,-0.044141499469118016,,,0.5,0.693059813819255,0.24995631383860015,0.5074964822332563
best_quote_updates,one_tick,ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,389538,61829,0.48896641662687595,0.4925035177667438,0.02247397014578944,,2.764859571115779,0.6937932857209639,0.6279981202391339,0.21980876097404495,0.601643241844442
best_quote_updates,one_tick,queue,2019-01-02,2019-10-17,2019-10-18,2019-12-31,389538,61829,0.48896641662687595,0.4925035177667438,-0.05284815001927869,0.7931987924780265,,0.626752539178586,0.6693722516456291,0.23819677972737116,0.5986834656876223
best_quote_updates,one_tick,queue_and_ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,389538,61829,0.48896641662687595,0.4925035177667438,0.01242732894821829,0.7668729576012506,2.691641911330087,0.7522882632135836,0.5953650611275216,0.2043721302472465,0.68288343657507
best_quote_updates,over_ten_ticks,intercept,2019-01-02,2019-10-17,2019-10-18,2019-12-31,10171670,2720784,0.495702180664532,0.5012650765367629,-0.01719170075317512,,,0.5,0.6932058732440916,0.2500293453918414,0.49873492346323706
best_quote_updates,over_ten_ticks,ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,10171670,2720784,0.495702180664532,0.5012650765367629,-0.013451693454876672,,2.0682174222086833,0.5847438803846737,0.6770394436104222,0.24213813625863628,0.5494423666119765
best_quote_updates,over_ten_ticks,queue,2019-01-02,2019-10-17,2019-10-18,2019-12-31,10171670,2720784,0.495702180664532,0.5012650765367629,-0.013480396827972845,0.3984146969752072,,0.5471351146897728,0.6907332686034021,0.24878260489826604,0.5398355768043329
best_quote_updates,over_ten_ticks,queue_and_ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,10171670,2720784,0.495702180664532,0.5012650765367629,-0.010625905395069725,0.29854853302168977,1.8557349174068067,0.5984245576216106,0.6762916007020021,0.24172422773861374,0.5670527318596404
best_quote_updates,six_to_ten_ticks,intercept,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7218206,1794330,0.497851820798686,0.5049539382387855,-0.00859276967595606,,,0.5,0.6931989780431639,0.2500258985680593,0.4950460617612145
best_quote_updates,six_to_ten_ticks,ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7218206,1794330,0.497851820798686,0.5049539382387855,-0.003931352117880757,,2.513414975116852,0.6325077204197468,0.656224549891943,0.23262665274992034,0.5769206333283176
best_quote_updates,six_to_ten_ticks,queue,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7218206,1794330,0.497851820798686,0.5049539382387855,-0.0060553242061844635,0.36908145610089677,,0.5296899625794658,0.6941993896822364,0.25050801082341245,0.5240524318269215
best_quote_updates,six_to_ten_ticks,queue_and_ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7218206,1794330,0.497851820798686,0.5049539382387855,-0.0022846039189221845,0.26001496138067665,2.3778821662879697,0.6379657170643508,0.6576573081415443,0.23318378573947302,0.588310399982166
best_quote_updates,two_to_five_ticks,intercept,2019-01-02,2019-10-17,2019-10-18,2019-12-31,4065445,912661,0.500580379269674,0.5025699575198239,0.002321518121336952,,,0.5,0.6931418880376391,0.2499973537399598,0.5025699575198239
best_quote_updates,two_to_five_ticks,ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,4065445,912661,0.500580379269674,0.5025699575198239,0.004713139564255959,,2.8497929477722366,0.6669296178592115,0.6379504371745305,0.22458746005030217,0.5971340946967165
best_quote_updates,two_to_five_ticks,queue,2019-01-02,2019-10-17,2019-10-18,2019-12-31,4065445,912661,0.500580379269674,0.5025699575198239,0.004138131329256118,0.3326028000918249,,0.5224952618438236,0.6950283427677277,0.25092711177704985,0.5172818823199413
best_quote_updates,two_to_five_ticks,queue_and_ofi,2019-01-02,2019-10-17,2019-10-18,2019-12-31,4065445,912661,0.500580379269674,0.5025699575198239,0.006255125993439498,0.2657582232191326,2.7760307296992393,0.6764252197284484,0.6382701819337797,0.22457582964152908,0.6153314319336534
