sample,spread_bucket,model,target_train_signal_fraction,entry_latency_us,shares,filled_round_trips,filled_test_dates,quoted_round_trip_mean_bps,cluster_standard_error_bps,pointwise_lower_95_bps,pointwise_upper_95_bps,simultaneous_lower_95_bps,simultaneous_upper_95_bps,familywise_adjusted_p_value,inference_status
price_spell_round_trips,all_spreads,ofi,0.1,100,1,136147,51,-3.7954158303452763,0.16525155304917416,-4.125799021341707,-3.4795890474410167,-4.295415708647598,-3.295415952042955,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,100,100,84265,51,-4.6503832283808855,0.1895913816189833,-5.018106171299216,-4.277900500322537,-5.224027868854868,-4.076738587906903,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,100,500,1095,51,-4.413836189338649,0.1641335544551573,-4.721622232339791,-4.081061802815519,-4.910453351105869,-3.9172190275714285,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,1000,1,96476,51,-4.002570069627388,0.17168576994148765,-4.344258414589498,-3.674663277446782,-4.522037890008113,-3.483102249246663,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,1000,100,61950,51,-4.7964537233348175,0.1895150968744129,-5.165556042925224,-4.426725216931683,-5.369867549863043,-4.223039896806592,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,1000,500,826,51,-4.5267367313878095,0.18312174781746954,-4.875147364344812,-4.152067994064275,-5.080806269215374,-3.972667193560245,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,10000,1,66830,51,-3.771705748900833,0.14928417572267172,-4.069103807195707,-3.4897944379789334,-4.223393302309708,-3.320018195491959,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,10000,100,42774,51,-4.534107823322812,0.16771881615529707,-4.860942820399214,-4.209845780953825,-5.041572873540548,-4.026642773105077,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,10000,500,665,51,-4.454037201289783,0.20453323339780768,-4.84644966616582,-4.042338745250072,-5.07289124484151,-3.8351831577380557,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,0,1,2198301,51,-4.3451955515957135,0.17972193156739444,-4.701796306818638,-4.005678959093732,-4.888978301311932,-3.8014128018794957,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,0,100,1382801,51,-5.316699857664724,0.19573091361774544,-5.69931437542512,-4.940193109465091,-5.908920815247815,-4.724478900081633,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,0,500,25426,51,-5.322843012669386,0.2122890836715831,-5.730582186083954,-4.917829873003921,-5.965163850459741,-4.680522174879031,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,10,1,2175478,51,-4.357867866439794,0.17989342111986945,-4.714584456968199,-4.017955137234989,-4.902169490283278,-3.8135662425963113,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,10,100,1372218,51,-5.324241058738103,0.19571228148405767,-5.707280271247637,-4.947218163185823,-5.91640564127113,-4.732076476205076,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,10,500,25236,51,-5.3332179353311755,0.21299682525593197,-5.742528160565794,-4.927276545507231,-5.977680179356537,-4.688755691305814,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,100,1,2044491,51,-4.414094163005966,0.18137740958868456,-4.772978861231472,-4.071123982527015,-4.962885875082319,-3.8653024509296126,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,100,100,1307260,51,-5.354885145595813,0.19656494655947662,-5.7389242394963755,-4.974871352134114,-5.9496296278397685,-4.760140663351858,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,100,500,24228,51,-5.3558167053589845,0.21350370841848357,-5.763247480348506,-4.949499847286081,-6.001812620414438,-4.709820790303531,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,1000,1,1564677,51,-4.492164231504544,0.1801084542887953,-4.849626225428776,-4.1530572646996715,-5.037116478935582,-3.947211984073506,9.999000099990002e-05,estimable
