sample,spread_bucket,bin,bin_center,observations,up_moves,down_moves,model_probability,empirical_up_probability
best_quote_updates,six_to_ten_ticks,63,0.2574257426,13741,6809,6932,0.5221665357276504,0.49552434320646244
best_quote_updates,six_to_ten_ticks,64,0.2772277228,9175,4556,4619,0.5239841209897128,0.496566757493188
best_quote_updates,six_to_ten_ticks,65,0.297029703,8891,4562,4329,0.5258010711372583,0.5131031380047238
best_quote_updates,six_to_ten_ticks,66,0.3168316832,9938,5015,4923,0.5276173383040893,0.5046286979271484
best_quote_updates,six_to_ten_ticks,67,0.3366336634,63048,34146,28902,0.5294328746962279,0.5415873620098972
best_quote_updates,six_to_ten_ticks,68,0.3564356436,11486,6062,5424,0.5312476325969231,0.5277729409716176
best_quote_updates,six_to_ten_ticks,69,0.3762376238,10428,5329,5099,0.5330615643716429,0.5110280015343307
best_quote_updates,six_to_ten_ticks,70,0.396039604,9879,5204,4675,0.5348746224730465,0.5267739649762122
best_quote_updates,six_to_ten_ticks,71,0.4158415842,8968,4699,4269,0.5366867594459386,0.5239741302408564
best_quote_updates,six_to_ten_ticks,72,0.4356435644,14660,7640,7020,0.538497927932201,0.5211459754433834
best_quote_updates,six_to_ten_ticks,73,0.4554455446,9591,4922,4669,0.5403080806757048,0.513189448441247
best_quote_updates,six_to_ten_ticks,74,0.4752475248,9881,5016,4865,0.5421171705271979,0.507640927031677
best_quote_updates,six_to_ten_ticks,75,0.495049505,21188,11808,9380,0.5439251504491699,0.5572965829714933
best_quote_updates,six_to_ten_ticks,76,0.5148514851,9880,5162,4718,0.54573197351157,0.5224696356275303
best_quote_updates,six_to_ten_ticks,77,0.5346534653,22527,10788,11739,0.5475375929331132,0.4788919962711413
best_quote_updates,six_to_ten_ticks,78,0.5544554455,12584,6497,6087,0.5493419620313195,0.516290527654164
best_quote_updates,six_to_ten_ticks,79,0.5742574257,10687,5584,5103,0.5511450342637764,0.522503976794236
best_quote_updates,six_to_ten_ticks,80,0.5940594059,24608,13178,11430,0.5529467632237421,0.5355169050715215
best_quote_updates,six_to_ten_ticks,81,0.6138613861,12056,6513,5543,0.5547471026448445,0.5402289316522894
best_quote_updates,six_to_ten_ticks,82,0.6336633663,13617,7078,6539,0.5565460064057501,0.5197914371741206
best_quote_updates,six_to_ten_ticks,83,0.6534653465,10208,5266,4942,0.5583434285348013,0.5158699059561128
best_quote_updates,six_to_ten_ticks,84,0.6732673267,23328,12575,10753,0.5601393232146197,0.5390517832647462
best_quote_updates,six_to_ten_ticks,85,0.6930693069,11692,6021,5671,0.5619336447866761,0.5149674991447143
best_quote_updates,six_to_ten_ticks,86,0.7128712871,16546,8974,7572,0.5637263477558256,0.542366735162577
best_quote_updates,six_to_ten_ticks,87,0.7326732673,28589,14330,14259,0.5655173867948079,0.5012417363321557
best_quote_updates,six_to_ten_ticks,88,0.7524752475,15884,8460,7424,0.5673067167487081,0.5326114328884411
best_quote_updates,six_to_ten_ticks,89,0.7722772277,14877,8020,6857,0.5690942926393838,0.5390871815554211
best_quote_updates,six_to_ten_ticks,90,0.7920792079,16223,8581,7642,0.5708800696698499,0.5289403932688159
best_quote_updates,six_to_ten_ticks,91,0.8118811881,23552,12766,10786,0.5726640032286271,0.5420346467391305
best_quote_updates,six_to_ten_ticks,92,0.8316831683,14047,7401,6646,0.5744460488940482,0.5268740656367907
best_quote_updates,six_to_ten_ticks,93,0.8514851485,19841,10654,9187,0.576226162438524,0.5369689027770778
best_quote_updates,six_to_ten_ticks,94,0.8712871287,21955,11762,10193,0.578004299832768,0.5357321794579822
best_quote_updates,six_to_ten_ticks,95,0.8910891089,22096,11616,10480,0.579780417249977,0.5257060101375814
best_quote_updates,six_to_ten_ticks,96,0.9108910891,26234,14250,11984,0.581554471069969,0.543188229015781
best_quote_updates,six_to_ten_ticks,97,0.9306930693,27115,15126,11989,0.5833264178832774,0.5578462105845473
best_quote_updates,six_to_ten_ticks,98,0.9504950495,26412,14413,11999,0.5850962144951983,0.5456989247311828
best_quote_updates,six_to_ten_ticks,99,0.9702970297,34447,19405,15042,0.5868638179297939,0.5633291723517287
